i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
0,11.0,0.153095,0.516554,0.323852,1.565852,0.111605,AUT,18986910.693584,0.002271,0.002090,0.002096,0.070207,0.001008,neutron,pi-,solid
1,11.0,0.278347,0.324223,0.324397,1.861460,0.098633,AUT,524946.432940,0.019998,0.016355,0.016434,0.070207,0.001082,neutron,pi-,solid
2,11.0,0.104873,0.659004,0.323231,1.399202,0.300661,AUT,19837336.624054,0.002877,0.002361,0.002383,0.070207,0.000993,neutron,pi-,solid
3,11.0,0.212225,0.401404,0.319117,1.721749,0.361383,AUT,1775401.396491,0.006621,0.011223,0.011381,0.070207,0.001041,neutron,pi-,solid
4,11.0,0.096064,0.688271,0.323505,1.335788,0.490592,AUT,19305567.841806,0.001951,0.001931,0.001935,0.070207,0.000991,neutron,pi-,solid
5,11.0,0.182561,0.468475,0.324744,1.715391,0.475258,AUT,6546450.227554,0.003339,0.003929,0.003922,0.070207,0.001022,neutron,pi-,solid
6,11.0,0.102453,0.695341,0.326848,1.402648,0.669028,AUT,6246708.531735,0.003322,0.003841,0.003868,0.070207,0.000994,neutron,pi-,solid
7,11.0,0.107805,0.631883,0.373400,1.385831,0.249664,AUT,18077151.977655,0.003934,0.002920,0.002938,0.070207,0.000983,neutron,pi-,solid
8,11.0,0.185659,0.461540,0.373917,1.720855,0.125287,AUT,10662788.395519,0.002751,0.002658,0.002664,0.070207,0.001010,neutron,pi-,solid
9,11.0,0.094295,0.694014,0.373883,1.325681,0.556656,AUT,18634877.317781,0.001900,0.001943,0.001950,0.070207,0.000983,neutron,pi-,solid
10,11.0,0.180226,0.471287,0.373688,1.697600,0.529391,AUT,7172853.679403,0.003130,0.003667,0.003681,0.070207,0.001008,neutron,pi-,solid
11,11.0,0.128767,0.579629,0.423732,1.490129,0.217083,AUT,19130773.492386,0.002706,0.002278,0.002287,0.070207,0.000981,neutron,pi-,solid
12,11.0,0.235502,0.373113,0.424300,1.798000,0.103056,AUT,2358480.778809,0.005836,0.005713,0.005709,0.070207,0.001023,neutron,pi-,solid
13,11.0,0.117098,0.632195,0.423686,1.422288,0.575482,AUT,18919657.683437,0.001883,0.001881,0.001880,0.070207,0.000982,neutron,pi-,solid
14,11.0,0.288502,0.318723,0.421338,1.897593,0.511421,AUT,93494.687856,0.053123,0.073102,0.073585,0.070207,0.001052,neutron,pi-,solid
15,11.0,0.118946,0.606656,0.473610,1.445026,0.319515,AUT,19333097.387695,0.002584,0.002207,0.002215,0.070207,0.000972,neutron,pi-,solid
16,11.0,0.218383,0.397642,0.473482,1.767618,0.189885,AUT,3986848.661058,0.004301,0.004281,0.004266,0.070207,0.001001,neutron,pi-,solid
17,11.0,0.112788,0.646997,0.474652,1.415435,0.740010,AUT,8624715.426018,0.002844,0.002810,0.002811,0.070207,0.000974,neutron,pi-,solid
18,11.0,0.116918,0.613519,0.523911,1.432661,0.410884,AUT,18535177.844709,0.002248,0.002053,0.002063,0.070207,0.000964,neutron,pi-,solid
19,11.0,0.214849,0.403234,0.523548,1.765429,0.238963,AUT,3570485.283880,0.004452,0.004453,0.004452,0.070207,0.000985,neutron,pi-,solid
20,11.0,0.128719,0.588191,0.573738,1.473739,0.437228,AUT,18025055.808078,0.002116,0.001997,0.002003,0.070207,0.000956,neutron,pi-,solid
21,11.0,0.277339,0.324793,0.573384,1.858187,0.183465,AUT,220012.630921,0.031098,0.024551,0.024456,0.070207,0.000989,neutron,pi-,solid
22,11.0,0.127669,0.591575,0.623677,1.468274,0.473285,AUT,14255544.904257,0.002345,0.002220,0.002217,0.070207,0.000944,neutron,pi-,solid
23,11.0,0.124659,0.598998,0.673633,1.459415,0.481240,AUT,10455262.132897,0.002773,0.002596,0.002609,0.070207,0.000929,neutron,pi-,solid
24,11.0,0.222272,0.531648,0.324088,2.386770,0.100567,AUT,11086426.886255,0.002786,0.002705,0.002725,0.070207,0.001057,neutron,pi-,solid
