i	Ebeam	x	y	z	Q2	pT	obs	Nacc	stat_sivers	stat_collins	stat_pretzelosity	systrel	systabs	target	hadron	Experiment	AUTSivers	error_stat_sivers	error_tot_sivers	AUTCollins	error_stat_collins	error_tot_collins	AUTPretzelosity	error_stat_pretzelosity	error_tot_pretzelosity
10	11.0	0.182192	0.488861	0.372502	1.789458	0.291024	AUT	1170616.754393	0.013507	0.012643	0.01277	0.070207	0.001288	neutron	pi+	solid	-0.029813084701704056	0.013507	0.013728765683207793	-0.12648662790347212	0.012643	0.015503650350493082	0.0017813084675305927	0.01277	0.01283539964646734
11	11.0	0.101879	0.666505	0.373393	1.364232	0.499801	AUT	19812432.672841	0.002143	0.002144	0.002152	0.070207	0.001145	neutron	pi+	solid	-0.05415053439554784	0.002143	0.004511845627860441	-0.09341480800015947	0.002144	0.006994285023163623	0.0015666219091683023	0.002152	0.0024401283411966635
12	11.0	0.200845	0.425816	0.373689	1.725008	0.491021	AUT	5902089.061548	0.00455	0.007168	0.007141	0.070207	0.001322	neutron	pi+	solid	-0.04682416781593321	0.00455	0.005766895166695845	-0.20148244036423849	0.007168	0.0159129647488058	0.008579104276171222	0.007141	0.007287272889049384
13	11.0	0.107305	0.670076	0.375894	1.405941	0.692024	AUT	11829654.737002	0.002807	0.002961	0.002958	0.070207	0.001154	neutron	pi+	solid	-0.07139678324459339	0.002807	0.005859749330344672	-0.10471873386406869	0.002961	0.008009429863238438	0.003184947459756314	0.002958	0.0031829985025400138
14	11.0	0.111137	0.616988	0.423727	1.396493	0.251285	AUT	19027658.054568	0.004466	0.003341	0.003346	0.070207	0.001165	neutron	pi+	solid	-0.03249509516809205	0.004466	0.005148503672037168	-0.06128627520482412	0.003341	0.005570722837199947	0.0004171585162007871	0.003346	0.003543134030008919
15	11.0	0.1881	0.456577	0.424433	1.725783	0.127903	AUT	12851708.309415	0.003227	0.003124	0.003137	0.070207	0.001306	neutron	pi+	solid	-0.015201338867284295	0.003227	0.0036411766047274624	-0.056175293199485235	0.003124	0.005198014026607476	0.00021676651811824315	0.003137	0.0033980342263670842
16	11.0	0.094858	0.689165	0.423793	1.326266	0.576703	AUT	19295964.037413	0.002161	0.002214	0.002211	0.070207	0.001137	neutron	pi+	solid	-0.06863769165017203	0.002161	0.005402219062313405	-0.08175591711328874	0.002214	0.0062562210246905675	0.0019618202332687498	0.002211	0.002490032232850727
17	11.0	0.179888	0.470784	0.423688	1.689638	0.572506	AUT	8007756.599419	0.003833	0.004766	0.004751	0.070207	0.00129	neutron	pi+	solid	-0.06318368804477942	0.003833	0.006002793326702522	-0.18130809500725806	0.004766	0.013653159974344548	0.010501775662795587	0.004751	0.0049779222154002845
18	11.0	0.125398	0.580604	0.473781	1.4716	0.2323	AUT	19021470.588812	0.003444	0.002858	0.00287	0.070207	0.001195	neutron	pi+	solid	-0.03352153071597357	0.003444	0.004339109307040117	-0.06066787282655759	0.002858	0.0052666787559135985	0.0005191272192869057	0.00287	0.003109059880011756
19	11.0	0.213689	0.407106	0.474227	1.76783	0.115264	AUT	6001117.508056	0.00478	0.004713	0.00472	0.070207	0.001365	neutron	pi+	solid	-0.01453815643155817	0.00478	0.0050747821011348495	-0.05058946032556902	0.004713	0.006057260941980328	0.0002401185502594805	0.00472	0.004913441685037801
20	11.0	0.107738	0.651847	0.473784	1.394078	0.591646	AUT	18581274.428361	0.002283	0.002271	0.00227	0.070207	0.001163	neutron	pi+	solid	-0.07764782773185522	0.002283	0.006023508061958252	-0.09347700774361882	0.002271	0.007041276163991793	0.003319131579725982	0.00227	0.0025612048420404136
21	11.0	0.223181	0.386772	0.473079	1.766498	0.598804	AUT	1751437.744387	0.009286	0.015795	0.015874	0.070207	0.001385	neutron	pi+	solid	-0.06555386668706456	0.009286	0.010456077534490604	-0.20169603282802626	0.015795	0.021258392607482125	0.02081537757766157	0.015874	0.016001179573472506
22	11.0	0.148449	0.53092	0.523954	1.548136	0.207815	AUT	19282661.979108	0.002909	0.002624	0.002633	0.070207	0.001242	neutron	pi+	solid	-0.03266065476263927	0.002909	0.0039067536672835355	-0.06078434577619775	0.002624	0.00516133525099351	0.0006450065461211961	0.002633	0.002911580951708896
23	11.0	0.285598	0.319602	0.524393	1.883567	0.177209	AUT	271240.57567	0.04872	0.03644	0.03722	0.070207	0.001518	neutron	pi+	solid	-0.0200151388591859	0.04872	0.048763893600291715	-0.07767070359123475	0.03644	0.03687700405960171	0.0016527178535133953	0.03722	0.03725112330533283
24	11.0	0.11188	0.644275	0.524102	1.413564	0.666292	AUT	18614748.729038	0.00233	0.002304	0.0023	0.070207	0.001174	neutron	pi+	solid	-0.09217223662994804	0.00233	0.0069773046328785475	-0.09715570534167207	0.002304	0.007294715736234614	0.004972126332607859	0.0023	0.002605788076830496
25	11.0	0.248742	0.359348	0.518384	1.84374	0.608166	AUT	134047.451803	0.042413	0.071162	0.072716	0.070207	0.001446	neutron	pi+	solid	-0.06715352530457362	0.042413	0.04269872816057522	-0.20115628761149668	0.071162	0.0725642364480707	0.029153775178281938	0.072716	0.07275917095824389
26	11.0	0.129083	0.578707	0.574101	1.487	0.302531	AUT	18506430.512721	0.003332	0.002834	0.002844	0.070207	0.001213	neutron	pi+	solid	-0.0521171515154925	0.003332	0.005095271577807406	-0.06848747473477929	0.002834	0.005711626320398347	0.00142764120791807	0.002844	0.003093501435969267
27	11.0	0.236352	0.371643	0.574023	1.798714	0.14613	AUT	2293103.584738	0.008355	0.008137	0.008138	0.070207	0.001433	neutron	pi+	solid	-0.021304963496333408	0.008355	0.008607950087840599	-0.05790638574467361	0.008137	0.009208257628398386	0.000741867576256256	0.008138	0.0082633677017295
28	11.0	0.110769	0.64597	0.574301	1.401396	0.802598	AUT	9657556.187177	0.003163	0.003157	0.003148	0.070207	0.001178	neutron	pi+	solid	-0.11041939742293928	0.003163	0.008455121805457816	-0.09789127021325368	0.003157	0.007654259214273449	0.0067380614542474826	0.003148	0.003394314790007089
29	11.0	0.131777	0.575711	0.623841	1.489437	0.370775	AUT	19245592.743362	0.002944	0.00263	0.00263	0.070207	0.001225	neutron	pi+	solid	-0.06811280282527526	0.002944	0.005747629286988927	-0.07979039988635879	0.00263	0.006308580504088759	0.0028380440127272538	0.00263	0.002908130977804632
30	11.0	0.254984	0.348971	0.62204	1.833894	0.163158	AUT	624272.214035	0.018191	0.016961	0.017119	0.070207	0.001486	neutron	pi+	solid	-0.024673276974464465	0.018191	0.018333611787662837	-0.06305062608069911	0.016961	0.01759199997147682	0.0013137399222603418	0.017119	0.017183621971591397
31	11.0	0.127893	0.59123	0.673485	1.476441	0.465292	AUT	17950936.463023	0.002771	0.002598	0.002604	0.070207	0.001225	neutron	pi+	solid	-0.08934564130413811	0.002771	0.006966038960459469	-0.0896393115678159	0.002598	0.006917799061083146	0.005011949352576179	0.002604	0.002899181998658295
32	11.0	0.203246	0.564238	0.32397	2.340486	0.108623	AUT	11090283.698527	0.003626	0.003453	0.003462	0.070207	0.001321	neutron	pi+	solid	-0.00901691445580749	0.003626	0.003910712205246169	-0.05313940547439066	0.003453	0.0052523144466393645	9.621752741897188e-05	0.003462	0.0037054730645316733
33	11.0	0.289627	0.42808	0.324572	2.533479	0.090172	AUT	7767955.90641	0.004642	0.004533	0.004525	0.070207	0.001475	neutron	pi+	solid	-0.005763432798663521	0.004642	0.004887485767642811	-0.05534526191042428	0.004533	0.006149942610241383	0.00012061151265202019	0.004525	0.004759340469347679
34	11.0	0.184077	0.614905	0.323621	2.301181	0.399119	AUT	11424399.665007	0.003229	0.003283	0.00329	0.070207	0.001286	neutron	pi+	solid	-0.033611799232009104	0.003229	0.004201049343367834	-0.1450981354895537	0.003283	0.010779838327634378	0.002846214462530255	0.00329	0.0035380539428365772
35	11.0	0.288121	0.423055	0.323229	2.487136	0.462656	AUT	4924124.973311	0.006087	0.009047	0.009029	0.070207	0.001471	neutron	pi+	solid	-0.028475270938656132	0.006087	0.006573588372202014	-0.22704248988012857	0.009047	0.01838735326616616	0.011615311358760204	0.009029	0.009184317251433162
36	11.0	0.215623	0.540188	0.373986	2.369125	0.10803	AUT	11009279.911294	0.003547	0.00346	0.003483	0.070207	0.001355	neutron	pi+	solid	-0.010251993551292367	0.003547	0.003864620410983408	-0.04987519508000509	0.00346	0.0051057557979254055	0.00013091027380556178	0.003483	0.003737298285008574
37	11.0	0.305285	0.407221	0.37408	2.552126	0.105882	AUT	4399125.981764	0.006595	0.006335	0.006339	0.070207	0.001519	neutron	pi+	solid	-0.00755278672009007	0.006595	0.006788413664024434	-0.05835542530624158	0.006335	0.007695756094776101	0.0002553951750728414	0.006339	0.006518481687009041
38	11.0	0.207066	0.570492	0.373411	2.335013	0.409511	AUT	11036758.911289	0.003744	0.003733	0.003751	0.070207	0.001334	neutron	pi+	solid	-0.03820951892478653	0.003744	0.004795133403798361	-0.15154313740533423	0.003733	0.011353917575479992	0.004886637192706784	0.003751	0.003995905183565461
39	11.0	0.357541	0.366511	0.373916	2.704287	0.443396	AUT	436011.409168	0.035593	0.034949	0.035355	0.070207	0.001616	neutron	pi+	solid	-0.024436960072149502	0.035593	0.03567094819339984	-0.19638393505837465	0.034949	0.03760505226439746	0.01761353377083659	0.035355	0.03541350934532572
40	11.0	0.210029	0.570928	0.37597	2.391593	0.68746	AUT	3155736.052763	0.00626	0.006336	0.006426	0.070207	0.001341	neutron	pi+	solid	-0.05945492144709095	0.00626	0.0076426057836619845	-0.18545793229868535	0.006336	0.014542185749584782	0.014542456700011511	0.006426	0.006643354707540973
41	11.0	0.233192	0.509552	0.423969	2.399282	0.110585	AUT	11034058.753271	0.003624	0.003566	0.003563	0.070207	0.001396	neutron	pi+	solid	-0.01151819866805424	0.003624	0.003966877870844527	-0.04876511317115306	0.003566	0.005136785675311276	0.0001948487233867635	0.003563	0.0038267443258473304
42	11.0	0.336553	0.380269	0.423755	2.638513	0.127248	AUT	1167050.655688	0.015975	0.014166	0.014212	0.070207	0.001592	neutron	pi+	solid	-0.009258474053987891	0.015975	0.016067283578575897	-0.06214261229811921	0.014166	0.014907865325041101	0.0005938763409996382	0.014212	0.014300949143769231
43	11.0	0.201923	0.580798	0.42399	2.342616	0.480726	AUT	10860898.600051	0.003702	0.003663	0.003655	0.070207	0.001336	neutron	pi+	solid	-0.05094984553782941	0.003702	0.005318353613203679	-0.14862889314655736	0.003663	0.011139447034635354	0.0077160353671841654	0.003655	0.003929043296780628
44	11.0	0.338193	0.374775	0.423226	2.613937	0.444474	AUT	775906.088397	0.025467	0.023093	0.023312	0.070207	0.001595	neutron	pi+	solid	-0.030462818290936583	0.025467	0.025606369615399395	-0.18349766775373072	0.023093	0.02649146550747864	0.018949751915578766	0.023312	0.02340434461981993
45	11.0	0.210062	0.55596	0.474113	2.367114	0.175165	AUT	10858901.956089	0.00379	0.003618	0.00361	0.070207	0.001363	neutron	pi+	solid	-0.02177554010679033	0.00379	0.004308025557570932	-0.06286969502508546	0.003618	0.005867720305061392	0.0006602159821251349	0.00361	0.003859017684311598
46	11.0	0.308798	0.402743	0.47434	2.553944	0.143416	AUT	3205545.237761	0.008212	0.007757	0.007742	0.070207	0.001553	neutron	pi+	solid	-0.013193819264654603	0.008212	0.008408732476056198	-0.063848015041977	0.007757	0.009092654170745054	0.0008376034805175728	0.007742	0.007896444206212841
47	11.0	0.210785	0.561894	0.473575	2.344595	0.662182	AUT	4895541.466174	0.005128	0.005649	0.005655	0.070207	0.00136	neutron	pi+	solid	-0.07166219851333838	0.005128	0.007311554991914934	-0.16643463983047058	0.005649	0.013049794859044827	0.018025368360805278	0.005655	0.005952321652888801
48	11.0	0.230567	0.52141	0.524163	2.401461	0.176814	AUT	11117323.198508	0.003851	0.00368	0.003683	0.070207	0.001411	neutron	pi+	solid	-0.02329106283294829	0.003851	0.004415312764489184	-0.0630883567062903	0.00368	0.005928872212179291	0.0009466573342325633	0.003683	0.003944594680528145
49	11.0	0.363174	0.368785	0.52406	2.763622	0.207957	AUT	333620.836122	0.049781	0.03702	0.037661	0.070207	0.00168	neutron	pi+	solid	-0.017099968075309283	0.049781	0.04982380606888291	-0.08044889582436497	0.03702	0.037486044847549575	0.0034916428714931555	0.037661	0.0376992495088007
50	11.0	0.198501	0.587789	0.523739	2.331198	0.687846	AUT	3555369.456667	0.006047	0.006372	0.006425	0.070207	0.001348	neutron	pi+	solid	-0.0829241763934769	0.006047	0.008501608054998343	-0.15090520165710908	0.006372	0.012436441162566668	0.018228194100225397	0.006425	0.006688458785959324
51	11.0	0.227139	0.530736	0.573911	2.39425	0.249393	AUT	10974321.311968	0.003918	0.003721	0.003759	0.070207	0.001416	neutron	pi+	solid	-0.03626410119369767	0.003918	0.00488240352570322	-0.0804138432592652	0.003721	0.006908245961874682	0.002704002920492896	0.003759	0.004021340100038328
52	11.0	0.389334	0.363305	0.568867	2.919591	0.220333	AUT	18114.133806	0.2729	0.188132	0.202119	0.070207	0.00176	neutron	pi+	solid	-0.01773849520688761	0.2729	0.272908516792352	-0.07642732445960418	0.188132	0.1882167317653608	0.004913136965742567	0.202119	0.20212695699055783
53	11.0	0.221621	0.540443	0.623836	2.388025	0.291298	AUT	9056705.568092	0.004228	0.004068	0.004102	0.070207	0.001419	neutron	pi+	solid	-0.04679807860257219	0.004228	0.005539350284439852	-0.08688107369401589	0.004068	0.007467799643409622	0.004365233159625656	0.004102	0.0043513088622373075
54	11.0	0.216471	0.550776	0.673338	2.390442	0.286588	AUT	6697765.222586	0.004937	0.004744	0.00477	0.070207	0.001425	neutron	pi+	solid	-0.05100526659722317	0.004937	0.006263196500440217	-0.08164105625588228	0.004744	0.007575578527130897	0.004395067887166888	0.00477	0.0049878589665192504
55	11.0	0.296689	0.560095	0.324359	3.394152	0.102601	AUT	5043601.093047	0.005538	0.005541	0.00551	0.070207	0.001492	neutron	pi+	solid	-0.006272818215729082	0.005538	0.005752343558522208	-0.052856686520652896	0.005541	0.006833710083469508	0.00015426531651863202	0.00551	0.005708439480264306
56	11.0	0.395048	0.434974	0.324121	3.538635	0.110557	AUT	1556410.108011	0.013314	0.012262	0.012313	0.070207	0.001672	neutron	pi+	solid	-0.004429049086061717	0.013314	0.01342217829033232	-0.05837065282836651	0.012262	0.013036336331834517	0.00032092022238881893	0.012313	0.012426023524805669
57	11.0	0.290089	0.597754	0.323665	3.518924	0.399248	AUT	4994047.854367	0.006133	0.00609	0.006044	0.070207	0.00148	neutron	pi+	solid	-0.02417318306464141	0.006133	0.0065333244150041	-0.16337040844992978	0.00609	0.013070332031262073	0.006453444218689321	0.006044	0.006239039567922895
58	11.0	0.425428	0.410738	0.323846	3.606485	0.45003	AUT	298995.520364	0.043873	0.046391	0.046764	0.070207	0.001736	neutron	pi+	solid	-0.014821549242906315	0.043873	0.043919661024060405	-0.1823566994889206	0.046391	0.04815649628541393	0.017300222588018256	0.046764	0.04681197108870567
59	11.0	0.315053	0.532474	0.374022	3.403607	0.109383	AUT	5028704.248724	0.005771	0.005747	0.005754	0.070207	0.00154	neutron	pi+	solid	-0.007398671112088353	0.005771	0.005995486415475911	-0.051648635494756005	0.005747	0.006967652359581402	0.0002532892791040051	0.005754	0.005956545326254376
60	11.0	0.431279	0.414264	0.373581	3.687113	0.133898	AUT	259833.986195	0.047735	0.038759	0.039022	0.070207	0.001775	neutron	pi+	solid	-0.005274578312918458	0.047735	0.04776942517148452	-0.058342034570820545	0.038759	0.03901522881465303	0.0007366437299030786	0.039022	0.039062383231244356
61	11.0	0.296144	0.59069	0.37406	3.529631	0.451869	AUT	4835104.810871	0.005856	0.005897	0.005859	0.070207	0.001506	neutron	pi+	solid	-0.031233589077844463	0.005856	0.006431890592221744	-0.1608677802691688	0.005897	0.01282957834484228	0.010847912041113433	0.005859	0.0060972084256792165
62	11.0	0.294251	0.57346	0.424025	3.440281	0.170274	AUT	5059381.398171	0.005631	0.005627	0.005612	0.070207	0.001518	neutron	pi+	solid	-0.014307643432597774	0.005631	0.005917896473026356	-0.06747332991651234	0.005627	0.007510497327465509	0.0009135451079671904	0.005612	0.0058140331602338875
63	11.0	0.401706	0.429273	0.424319	3.553056	0.157704	AUT	1028040.527901	0.01856	0.016411	0.016439	0.070207	0.00173	neutron	pi+	solid	-0.008442007337003602	0.01856	0.01864987343324725	-0.06495923907887977	0.016411	0.017120538316006947	0.0012916782735144699	0.016439	0.016530028576599836
64	11.0	0.296041	0.582938	0.423554	3.495087	0.621104	AUT	1957726.847171	0.010184	0.010441	0.010429	0.070207	0.00152	neutron	pi+	solid	-0.04669674858500427	0.010184	0.010806128623931668	-0.17277451668609695	0.010441	0.016076731874361	0.024410690790242207	0.010429	0.010677619403688401
65	11.0	0.301142	0.565754	0.474003	3.455197	0.211944	AUT	5092005.738075	0.005715	0.005708	0.005698	0.070207	0.001544	neutron	pi+	solid	-0.019633700674153785	0.005715	0.006078257281683677	-0.07598870994644333	0.005708	0.007964093041046635	0.0020411102488239376	0.005698	0.005905224378050914
66	11.0	0.422266	0.415253	0.474157	3.618182	0.196714	AUT	395403.076227	0.040106	0.031935	0.032301	0.070207	0.0018	neutron	pi+	solid	-0.010772825621707383	0.040106	0.04015349633211644	-0.07001878943245184	0.031935	0.03236123305123151	0.002933186425800082	0.032301	0.03235176978551963
67	11.0	0.307705	0.557603	0.52398	3.463043	0.279618	AUT	4956737.130044	0.005916	0.005914	0.005882	0.070207	0.001573	neutron	pi+	solid	-0.028059194671590883	0.005916	0.006430714999961553	-0.09099005913519502	0.005914	0.008846357777481204	0.005203463283474768	0.005882	0.0060996484629224695
68	11.0	0.467655	0.407864	0.523964	3.937235	0.244174	AUT	5075.136146	0.582889	0.410696	0.422541	0.070207	0.001954	neutron	pi+	solid	-0.011643761231548077	0.582889	0.5828928483863878	-0.06926254532809127	0.410696	0.4107294347063855	0.006471348870645824	0.422541	0.4225457622747797
69	11.0	0.307043	0.558786	0.573955	3.465197	0.284717	AUT	3883168.324305	0.006713	0.006728	0.006721	0.070207	0.00159	neutron	pi+	solid	-0.031850392112478094	0.006713	0.007252082721314301	-0.08685569502769308	0.006728	0.00921836197107095	0.006079364404817862	0.006721	0.006919690104088499
70	11.0	0.302622	0.564703	0.62384	3.463238	0.286711	AUT	2976442.962345	0.007758	0.00777	0.007756	0.070207	0.001602	neutron	pi+	solid	-0.03602990881620365	0.007758	0.008315744124891496	-0.08309764061166691	0.00777	0.009847602788715179	0.006710961421426656	0.007756	0.007933720969244046
71	11.0	0.295988	0.574937	0.673385	3.465358	0.292143	AUT	2142368.118784	0.009163	0.009171	0.009195	0.070207	0.001611	neutron	pi+	solid	-0.04120826744507801	0.009163	0.009742995879953226	-0.08117261037085088	0.009171	0.010916952754505252	0.007504666527680911	0.009195	0.009349917040483113
72	11.0	0.344317	0.626509	0.32353	4.441513	0.124269	AUT	2991323.44526	0.0078	0.0077	0.007712	0.070207	0.00158	neutron	pi+	solid	-0.006181316550633256	0.0078	0.007970240362037423	-0.05366138662921058	0.0077	0.00871663583133399	0.00029136228133397275	0.007712	0.007872214582600255
73	11.0	0.427632	0.52257	0.323897	4.590366	0.116787	AUT	1009491.077699	0.014491	0.014605	0.014468	0.070207	0.001746	neutron	pi+	solid	-0.003883771214103845	0.014491	0.014598354181128316	-0.051075919220026376	0.014605	0.015139786227419297	0.00035945008423285516	0.014468	0.014572994779771852
74	11.0	0.336586	0.636988	0.324179	4.416754	0.287066	AUT	3038390.511846	0.011973	0.009733	0.009714	0.070207	0.001566	neutron	pi+	solid	-0.014600492451741966	0.011973	0.01211840857493343	-0.11331268596239788	0.009733	0.012667720358259018	0.0030728475250339973	0.009714	0.009841783058241224
75	11.0	0.416191	0.556065	0.324509	4.758793	0.286604	AUT	705753.78531	0.023646	0.020791	0.020774	0.070207	0.001722	neutron	pi+	solid	-0.010007002188132715	0.023646	0.023719025966626013	-0.11340568500799145	0.020791	0.02232985413099166	0.004444690340540354	0.020774	0.02084758341362799
76	11.0	0.357922	0.610922	0.324348	4.469789	0.553594	AUT	2501037.417428	0.008926	0.009179	0.009139	0.070207	0.001605	neutron	pi+	solid	-0.024611214110662062	0.008926	0.009232284040141665	-0.17392308751185634	0.009179	0.015359989028216517	0.0175158148158196	0.009139	0.009359999400955896
77	11.0	0.325416	0.643161	0.37379	4.316139	0.221449	AUT	2963275.530132	0.008436	0.007997	0.008002	0.070207	0.001565	neutron	pi+	solid	-0.014076066452351559	0.008436	0.00863666232581405	-0.08107366405026814	0.007997	0.009939788756738342	0.0016772471460251893	0.008002	0.008154452472116377
78	11.0	0.392315	0.576783	0.374027	4.640236	0.19729	AUT	2965690.188392	0.008827	0.008571	0.008506	0.070207	0.001695	neutron	pi+	solid	-0.009346503223722222	0.008827	0.009012188372025956	-0.07472566908826375	0.008571	0.01019109233455821	0.0017052462918024506	0.008506	0.008674064441345322
79	11.0	0.499936	0.451602	0.374276	4.660445	0.191313	AUT	29393.213933	0.137959	0.118288	0.118601	0.070207	0.001967	neutron	pi+	solid	-0.004893793236644528	0.137959	0.13797344967860434	-0.06254973457903236	0.118288	0.11838582974138222	0.0021051758221054366	0.118601	0.11861740232475225
80	11.0	0.354718	0.615739	0.374407	4.472091	0.567198	AUT	2125525.519056	0.011484	0.0108	0.010669	0.070207	0.00162	neutron	pi+	solid	-0.029913361383487578	0.011484	0.011786313712919463	-0.15960979153045932	0.0108	0.01564712959531437	0.021401790057002264	0.010669	0.010895395080218336
81	11.0	0.334791	0.636413	0.423872	4.391417	0.22599	AUT	2982819.158277	0.008418	0.008058	0.008052	0.070207	0.001599	neutron	pi+	solid	-0.016015306602722684	0.008418	0.008641977221400263	-0.0746396980905051	0.008058	0.00974413505382675	0.0021682919691779026	0.008052	0.008210644234890941
82	11.0	0.410398	0.55153	0.42386	4.643738	0.197598	AUT	1566211.157784	0.012027	0.011909	0.011833	0.070207	0.001757	neutron	pi+	solid	-0.0099499386262468	0.012027	0.012174717966533159	-0.0673197569219183	0.011909	0.012932494480336539	0.0021527837989419713	0.011833	0.011963685947414955
83	11.0	0.352277	0.619729	0.424436	4.476607	0.57473	AUT	1820051.93683	0.015017	0.012971	0.01295	0.070207	0.001633	neutron	pi+	solid	-0.03497387376318818	0.015017	0.015303791032852102	-0.14738841138918557	0.012971	0.016672983776312565	0.02487937147870747	0.01295	0.013168909255026992
84	11.0	0.350159	0.620496	0.473891	4.465413	0.224861	AUT	2997635.903436	0.0084	0.008148	0.008167	0.070207	0.001647	neutron	pi+	solid	-0.017036106218137722	0.0084	0.008643098631500652	-0.06852280691595401	0.008148	0.00960448457716644	0.0026557341028495577	0.008167	0.008333502386253938
85	11.0	0.448056	0.495709	0.474018	4.571589	0.20538	AUT	407066.872721	0.024905	0.024945	0.024743	0.070207	0.001875	neutron	pi+	solid	-0.00968314929219193	0.024905	0.02498473157437315	-0.06194143650686749	0.024945	0.025390550147601477	0.0031406507661936377	0.024743	0.024814920760295765
86	11.0	0.350552	0.622438	0.474398	4.477456	0.580155	AUT	1553803.455669	0.019249	0.015685	0.015652	0.070207	0.001648	neutron	pi+	solid	-0.03992053935471089	0.019249	0.019521655657585072	-0.13772579169856025	0.015685	0.01849948039678885	0.028305205538586193	0.015652	0.015863482136601506
87	11.0	0.34771	0.623627	0.523976	4.458603	0.29709	AUT	2976272.432061	0.009051	0.008555	0.008525	0.070207	0.001663	neutron	pi+	solid	-0.025279928361250543	0.009051	0.009372096039986729	-0.08094962262555887	0.008555	0.01040445572830922	0.006367956105532871	0.008525	0.00869718748446556
88	11.0	0.442939	0.504959	0.523963	4.602261	0.254729	AUT	433553.366616	0.023882	0.024041	0.023967	0.070207	0.00189	neutron	pi+	solid	-0.013884280053393774	0.023882	0.0239764928141746	-0.06982384224533032	0.024041	0.02460838446407342	0.006372175040115271	0.023967	0.024045567784392978
89	11.0	0.35557	0.614089	0.573967	4.474614	0.360999	AUT	2973698.043465	0.009243	0.008736	0.008731	0.070207	0.001703	neutron	pi+	solid	-0.032649549248582106	0.009243	0.009674066475885819	-0.09058675214988002	0.008736	0.01093916211083243	0.01247524542473149	0.008731	0.008938550354723594
90	11.0	0.478612	0.461785	0.570688	4.561245	0.243092	AUT	46537.179293	0.095935	0.087949	0.087716	0.070207	0.002031	neutron	pi+	solid	-0.012105745821791808	0.095935	0.0959602601589491	-0.05916579081284419	0.087949	0.08807046073486029	0.006767529115776001	0.087716	0.08774079646058133
