Nu	au	bu	cu	Nd	ad	bd	cd	Nub	Ndb	kt2	Nu_err	au_err	bu_err	cu_err	Nd_err	ad_err	bd_err	cd_err	Nub_err	Ndb_err	kt2_err	chi2	ndof	edm
-0.0399730002292934	0.6342413094375884	3.4729067094431754	-0.5685663469168313	0.027790058868481182	0.09136845614755967	4.670685597519835	12.31628341822764	0.0	0.0	0.1584803488360226	0.008877943592011661	0.06570836641912858	1.460275215812969	1.3127489845645621	0.004433658137356522	0.20374467620658152	0.37433430367612264	10.003452970575836	nan	nan	0.015162580035462295	224.94186996189384	464	8.747190526868085e-05
-0.04277371401968022	0.664101109550376	3.4702990765386033	-0.6300093130240079	0.054297109606659344	0.3990199148142602	2.8656754595950784	-0.5323863808062438	0.0	0.0	0.14500120707469055	0.016535453577064596	0.07095068643800662	2.246355566859723	2.154187429321135	0.034764207896319954	0.0812705328571166	6.4288100396178445	4.888412692505755	nan	nan	0.014380514397586058	214.3315285149831	464	3.166758928842954e-05
-0.03568161177922469	0.6888193915075931	5.0616128836606045	0.9555230094617048	0.05530595693612539	0.36302634557354024	2.5863390662747454	-0.5584785208664782	0.0	0.0	0.15669387615012992	0.02278098615896612	0.17075362451805187	2.532927403333865	5.907228986472515	0.017650618309784094	0.07832836774370028	2.3383875282187203	2.4077858103532583	nan	nan	0.014393674681778046	269.72386230484983	464	8.424460150340487e-05
-0.043664407581582854	0.6066762722395557	2.7858041441231576	-0.592418878692741	0.04452700663921694	0.31170584871798407	3.3829439882938592	1.693126353847036	0.0	0.0	0.19259619879416973	0.016234032027274137	0.06872798420208609	1.9043043207973986	1.8531506060247112	0.012472836597544168	0.175201652272611	0.9802764007214595	3.671464292818589	nan	nan	0.014632598085073514	219.02976064952725	464	9.453571955308163e-05
-0.023708806734369703	0.5080532209525546	5.6697193215469355	5.646099253230525	0.06567613555933849	0.3420441451682056	1.17211502353255	-1.5125282969391771	0.0	0.0	0.14423564728919203	0.011797939381372913	0.2528100766471049	0.7400287534833718	8.569595081375123	0.011687889018152986	0.10451886466644361	1.227744753785797	0.4786752308022944	nan	nan	0.014558223078936797	231.0625033693057	464	5.2752588930699265e-05
-0.028040508199367875	0.6410817056138651	5.871771229972014	3.136126842217882	0.05391110012487732	0.5174584522132957	3.8738808771371773	-0.4108694626893832	0.0	0.0	0.13478078602353186	0.003662199606427441	0.08595600592318181	0.5757226281537164	1.6837534916676247	0.004641070954474413	0.08431366353065295	0.733341990342034	0.6827969309492967	nan	nan	0.014204071882482863	214.588644758435	464	4.591120889915958e-05
-0.03371262868927727	0.5966544738730303	4.2627632268804785	1.047304592730041	0.05443080525655564	0.34359920834890895	2.283859795469976	-0.5774408229117374	0.0	0.0	0.1511228499451471	0.013800463826249443	0.12621986113291114	1.5458596488592604	3.7296011260245128	0.015097282664194411	0.07763649411029758	1.9605271817496703	1.9542279655873585	nan	nan	0.014279311174353881	224.7862444996181	464	1.4538341457041011e-05
-0.022770946507458922	0.4867193456959111	5.668136251819465	6.232046381458229	0.04400293362812624	0.32426689785161555	3.7519185201027105	1.476137245464033	0.0	0.0	0.13689612262453935	0.01621280817301546	0.36493411748116283	0.8019297627704707	13.005361905304175	0.013451199023751914	0.1830277204465565	1.257941827638963	4.14703193369271	nan	nan	0.014473297749581601	214.92345390621009	464	8.558619356564422e-05
-0.03064906301133341	0.6207676729455751	5.187659458700072	2.162699937863269	0.04196174636604333	0.32066550364555785	4.1332446108694825	2.4457130637596958	0.0	0.0	0.14551464730429303	0.02463008471284095	0.30935796617040406	2.184424635091842	9.10108880346763	0.021430131847441913	0.31501313169640177	1.5525263224777142	8.021161588529147	nan	nan	0.014358971322057823	272.5190340784717	464	2.9525284229533792e-05
-0.050694335402567625	0.6621090795091464	2.5126514868398138	-1.4194089597033859	0.030909567902969837	0.15598352603149745	4.4908660572402646	8.583232240561175	0.0	0.0	0.15976749642037946	0.012696398502494044	0.09349210663751673	1.656319901096473	0.783243622541853	0.009694538324770963	0.31207936976296224	0.41963539456110377	11.959268809487456	nan	nan	0.01494422673017716	243.0668307455466	464	6.788232907765503e-07
-0.0343085231995327	0.6357885568832242	4.76277160085146	0.8626268018457546	0.054054323204030474	0.3405854077725464	2.441359343199157	-0.5916421602763144	0.0	0.0	0.1545811452020686	0.01807654420165944	0.14340176584344982	2.2247722383954542	4.888846842678227	0.009227541128777772	0.07926560282370915	1.3684680324384275	1.2835012679996078	nan	nan	0.014755696000743335	216.27874666116583	464	3.40816909706377e-05
-0.02174853250916442	0.5325732460474889	6.5656959322156085	7.612728139762114	0.05631487825919357	0.4487545911653704	3.0713592316083083	-0.734614856121981	0.0	0.0	0.1496363510310391	0.019775078809675883	0.4557642285612077	0.788605742508381	18.466594262019367	0.03425949835779463	0.09803773875741234	6.525785794206374	4.327691509641981	nan	nan	0.01469038322557173	218.98947359016654	464	0.00012782821095833096
