Author: Andrew J. R. Puckett
n(e,e'pi-)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1691     2.413    0.3858     0.528    0.8641   0.01116 +/-    0.00259  -0.06563 +/-   0.002591
[       0.2,       0.3]         0.2474     3.378    0.4068    0.4731    0.8268   0.02107 +/-   0.001993  -0.05541 +/-   0.001993
[       0.3,       0.4]         0.3455     4.433    0.4325    0.3972    0.7769   0.03079 +/-   0.002476  -0.03011 +/-   0.002476
[       0.4,       0.5]         0.4437     5.372    0.4485    0.3266    0.7332   0.03517 +/-   0.003419  -0.01243 +/-   0.003418
[       0.5,       0.6]         0.5413     6.219    0.4511    0.2682    0.6958   0.04067 +/-   0.005617 -0.004296 +/-   0.005618
[       0.6,       0.7]         0.6353     7.008    0.4341    0.2194     0.668   0.03987 +/-    0.01179-0.0004378 +/-    0.01179
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[      0.25,      0.35]         0.2615     3.503    0.3111    0.3794    0.8111   0.01293 +/-   0.002072  -0.04141 +/-   0.002073
[      0.35,      0.45]         0.3133     4.006    0.3953    0.4164    0.7742   0.02528 +/-   0.002051  -0.04837 +/-   0.002051
[      0.45,      0.55]         0.3249     4.119    0.4947    0.4814    0.7677   0.03149 +/-   0.002689  -0.04632 +/-    0.00269
[      0.55,      0.65]         0.3267     4.142    0.5939    0.5413    0.7678   0.03675 +/-   0.003602  -0.03515 +/-   0.003603
[      0.65,      0.75]         0.3094     3.976    0.6903    0.5923    0.7782   0.03692 +/-   0.005384  -0.01274 +/-   0.005385
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.4606     5.408    0.4135    0.1424     0.711   0.01358 +/-   0.004765 -0.005175 +/-   0.004766
[       0.2,       0.4]         0.3275     4.171    0.3826    0.3151    0.7712   0.02244 +/-   0.002008  -0.02867 +/-   0.002009
[       0.4,       0.6]         0.2669      3.55    0.4097    0.4878    0.8055   0.02514 +/-   0.001832  -0.05446 +/-   0.001832
[       0.6,       0.8]         0.2412     3.277    0.4971    0.6769    0.8228   0.02865 +/-   0.003028  -0.06859 +/-   0.003029
[       0.8,         1]          0.219     3.033    0.5794    0.8714    0.8385   0.02838 +/-   0.006381  -0.07102 +/-   0.006384
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][      0.25,      0.35]         0.1683     2.405    0.3028    0.4375    0.8653  0.008803 +/-   0.003772  -0.05521 +/-   0.003773
[       0.2,       0.3][      0.25,      0.35]         0.2449     3.363    0.3094    0.3883    0.8314   0.01552 +/-   0.003243  -0.04963 +/-   0.003243
[       0.3,       0.4][      0.25,      0.35]         0.3426     4.442     0.319    0.3252    0.7851   0.02173 +/-   0.004868  -0.03044 +/-    0.00487
[       0.4,       0.5][      0.25,      0.35]         0.4402     5.437     0.327    0.2752     0.748    0.0248 +/-   0.008375  -0.01465 +/-   0.008377
[       0.5,       0.6][      0.25,      0.35]         0.5373     6.405    0.3328    0.2411    0.7219   0.02993 +/-     0.0176 -0.006164 +/-    0.01758
[       0.6,       0.7][      0.25,      0.35]         0.6342     7.365    0.3372    0.2192    0.7033   0.03362 +/-    0.04614 -0.001218 +/-    0.04611
[       0.1,       0.2][      0.35,      0.45]         0.1695     2.417    0.3939    0.5431    0.8635   0.01179 +/-   0.004795  -0.07304 +/-   0.004795
[       0.2,       0.3][      0.35,      0.45]         0.2482     3.383    0.3947    0.4675    0.8252   0.02085 +/-   0.003562   -0.0615 +/-   0.003562
[       0.3,       0.4][      0.35,      0.45]         0.3462     4.431    0.3957    0.3759     0.775   0.02847 +/-   0.004288  -0.03478 +/-   0.004287
[       0.4,       0.5][      0.35,      0.45]         0.4446     5.365    0.3963    0.3031    0.7307   0.03141 +/-    0.00577  -0.01533 +/-    0.00577
[       0.5,       0.6][      0.35,      0.45]         0.5426     6.208    0.3974    0.2534    0.6928   0.03696 +/-   0.009064 -0.005769 +/-   0.009068
[       0.6,       0.7][      0.35,      0.45]          0.638     7.002    0.3992    0.2195    0.6646   0.03947 +/-    0.01683-0.0007909 +/-    0.01683
[       0.1,       0.2][      0.45,      0.55]           0.17     2.422    0.4935    0.6487    0.8628   0.01452 +/-   0.007013  -0.08445 +/-   0.007014
[       0.2,       0.3][      0.45,      0.55]         0.2493      3.39    0.4943    0.5548    0.8233   0.02627 +/-   0.004873  -0.06696 +/-   0.004876
[       0.3,       0.4][      0.45,      0.55]          0.347      4.43    0.4952    0.4447    0.7732   0.03638 +/-   0.005437  -0.03504 +/-   0.005437
[       0.4,       0.5][      0.45,      0.55]          0.445     5.357    0.4957    0.3566     0.729   0.04032 +/-   0.006915  -0.01394 +/-   0.006915
[       0.5,       0.6][      0.45,      0.55]         0.5428     6.189    0.4957    0.2905    0.6904   0.04646 +/-    0.01037 -0.004179 +/-    0.01038
[       0.6,       0.7][      0.45,      0.55]         0.6339     6.941    0.4921    0.2232    0.6632   0.04189 +/-    0.01971 0.0001025 +/-    0.01972
[       0.1,       0.2][      0.55,      0.65]         0.1704     2.426    0.5934     0.746    0.8622   0.01662 +/-    0.01031  -0.08104 +/-    0.01031
