Author: Andrew J. R. Puckett
n(e,e'pi+)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1733     3.161    0.3107    0.5624    0.8835 -0.006899 +/-    0.00285   -0.1392 +/-    0.00285
[       0.2,       0.3]         0.2492     4.394    0.3319    0.5276    0.8541  -0.01454 +/-   0.001958   -0.1748 +/-   0.001958
[       0.3,       0.4]          0.347     5.806    0.3633    0.4724    0.8106    -0.024 +/-   0.002439   -0.1485 +/-   0.002439
[       0.4,       0.5]         0.4454     7.084     0.389    0.4113    0.7705  -0.03158 +/-   0.003407  -0.09471 +/-   0.003407
[       0.5,       0.6]         0.5433     8.244    0.4032    0.3498    0.7351   -0.0428 +/-   0.005561  -0.05242 +/-   0.005561
[       0.6,       0.7]         0.6402     9.308    0.4001    0.2915    0.7044  -0.05289 +/-    0.01132  -0.01847 +/-    0.01132
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.3]         0.2989     5.063    0.2562    0.4054    0.8206   -0.0125 +/-   0.001724  -0.08453 +/-   0.001724
[       0.3,       0.4]         0.3454     5.663    0.3444    0.4745    0.7941  -0.02447 +/-   0.002162    -0.142 +/-   0.002162
[       0.4,       0.5]         0.3686     5.963    0.4442    0.5463    0.7836  -0.03109 +/-   0.003262   -0.1838 +/-   0.003262
[       0.5,       0.6]         0.3859     6.186    0.5443    0.6027    0.7766  -0.03591 +/-   0.004924   -0.2243 +/-   0.004923
[       0.6,       0.7]         0.3878     6.217    0.6431     0.651    0.7767  -0.03565 +/-   0.007545    -0.273 +/-   0.007538
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.5334      7.95    0.3489    0.1468     0.722   -0.0143 +/-   0.007737  -0.01329 +/-   0.007739
[       0.2,       0.4]         0.3778     6.103    0.3141      0.32    0.7826  -0.02204 +/-   0.002264  -0.06707 +/-   0.002264
[       0.4,       0.6]         0.3095     5.204    0.3384    0.4913    0.8146  -0.02115 +/-   0.001766   -0.1354 +/-   0.001766
[       0.6,       0.8]         0.2867     4.896      0.42      0.68    0.8275  -0.02517 +/-   0.002745    -0.245 +/-   0.002745
[       0.8,         1]         0.2694     4.662    0.5104     0.876    0.8382  -0.02565 +/-   0.005375    -0.339 +/-   0.005375
[         1,       1.2]         0.2473     4.345    0.5786     1.071    0.8514    -0.022 +/-    0.01195   -0.3603 +/-    0.01193
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.6,       0.7][       0.5,       0.6]         0.6396     9.246    0.5441    0.3323    0.7002  -0.06078 +/-    0.03232   -0.0296 +/-    0.03234
[       0.1,       0.2][       0.6,       0.7]         0.1755     3.192    0.6419    0.9798    0.8811  -0.01209 +/-    0.02966   -0.3136 +/-    0.02965
[       0.2,       0.3][       0.6,       0.7]         0.2548     4.453    0.6431    0.8506    0.8466  -0.02406 +/-    0.01527   -0.4095 +/-    0.01525
[       0.3,       0.4][       0.6,       0.7]         0.3508     5.814     0.644    0.6977    0.8028  -0.03519 +/-    0.01388    -0.328 +/-    0.01386
[       0.4,       0.5][       0.6,       0.7]         0.4477     7.054    0.6442    0.5623    0.7634  -0.04188 +/-    0.01591   -0.1973 +/-     0.0159
[       0.5,       0.6][       0.6,       0.7]         0.5433     8.176    0.6426    0.4288     0.729  -0.05011 +/-    0.02406   -0.1027 +/-    0.02403
[       0.6,       0.7][       0.6,       0.7]         0.6286     9.167    0.6328    0.2874    0.7065  -0.04408 +/-    0.06157  -0.03001 +/-    0.06161
2D binning in xbj, pt
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.3][         0,       0.2]         0.2835     4.741    0.2399    0.1891    0.8102 -0.006148 +/-     0.1291  -0.04066 +/-     0.1288
[       0.3,       0.4][         0,       0.2]         0.3647     5.891    0.2718    0.1764    0.7825  -0.01076 +/-    0.02434   -0.0411 +/-    0.02434
[       0.4,       0.5][         0,       0.2]         0.4547     7.046     0.323    0.1596    0.7507  -0.01448 +/-    0.01365  -0.03041 +/-    0.01366
[       0.5,       0.6][         0,       0.2]         0.5486     8.162     0.368    0.1415    0.7208  -0.01986 +/-    0.01351  -0.01948 +/-    0.01351
[       0.6,       0.7][         0,       0.2]         0.6436      9.22    0.3849    0.1296    0.6941  -0.02665 +/-    0.02081  -0.00805 +/-    0.02082
[       0.1,       0.2][       0.2,       0.4]         0.1752     3.191    0.2388    0.3516     0.882 -0.004311 +/-   0.008205  -0.06487 +/-   0.008203
[       0.2,       0.3][       0.2,       0.4]         0.2534     4.444    0.2619     0.337    0.8495 -0.009993 +/-    0.00439  -0.08965 +/-    0.00439
[       0.3,       0.4][       0.2,       0.4]         0.3496      5.82    0.3031    0.3205    0.8065  -0.01778 +/-   0.004267  -0.08498 +/-   0.004268
[       0.4,       0.5][       0.2,       0.4]         0.4465      7.08    0.3497    0.3091    0.7682  -0.02574 +/-   0.005157  -0.06413 +/-   0.005157
[       0.5,       0.6][       0.2,       0.4]         0.5436     8.245    0.3824     0.301    0.7348  -0.03928 +/-   0.007951  -0.04256 +/-   0.007953
[       0.6,       0.7][       0.2,       0.4]         0.6402     9.324    0.3944    0.2941    0.7056  -0.05659 +/-    0.01604   -0.0184 +/-    0.01604
[       0.1,       0.2][       0.4,       0.6]         0.1733      3.16     0.277     0.499    0.8836 -0.006227 +/-   0.003986   -0.1124 +/-   0.003987
[       0.2,       0.3][       0.4,       0.6]         0.2485     4.386    0.3069    0.4942     0.855    -0.014 +/-   0.002782   -0.1527 +/-   0.002782
[       0.3,       0.4][       0.4,       0.6]         0.3456     5.799    0.3604    0.4888    0.8129  -0.02548 +/-   0.003672   -0.1517 +/-   0.003671
[       0.4,       0.5][       0.4,       0.6]         0.4435     7.092    0.4088    0.4849    0.7747  -0.03745 +/-   0.005701   -0.1147 +/-   0.005702
[       0.5,       0.6][       0.4,       0.6]         0.5412      8.28    0.4367    0.4815    0.7412  -0.05804 +/-    0.01084  -0.07538 +/-    0.01084
[       0.6,       0.7][       0.4,       0.6]         0.6369     9.383    0.4298    0.4757    0.7137  -0.08312 +/-    0.02749  -0.03112 +/-    0.02749
[       0.1,       0.2][       0.6,       0.8]         0.1726      3.15    0.3562    0.6816    0.8841 -0.007926 +/-   0.005539   -0.1742 +/-   0.005539
[       0.2,       0.3][       0.6,       0.8]         0.2472      4.37    0.4004    0.6812    0.8565  -0.01856 +/-   0.004172   -0.2563 +/-    0.00417
[       0.3,       0.4][       0.6,       0.8]         0.3441     5.791     0.462    0.6797    0.8152  -0.03294 +/-   0.006064   -0.2486 +/-   0.006067
[       0.4,       0.5][       0.6,       0.8]         0.4419     7.097    0.4993    0.6769     0.778  -0.04744 +/-    0.01049    -0.179 +/-    0.01049
[       0.5,       0.6][       0.6,       0.8]         0.5381     8.304    0.5013    0.6708    0.7476  -0.07198 +/-    0.02337   -0.1104 +/-    0.02337
[       0.6,       0.7][       0.6,       0.8]         0.6282     9.424    0.4525    0.6553    0.7268  -0.09652 +/-    0.08783  -0.04067 +/-    0.08788
[       0.1,       0.2][       0.8,         1]         0.1726      3.15    0.4626    0.8786     0.884 -0.009731 +/-    0.01044     -0.25 +/-    0.01043
[       0.2,       0.3][       0.8,         1]         0.2464     4.361     0.507    0.8775    0.8572  -0.02192 +/-    0.00796   -0.3558 +/-   0.007965
[       0.3,       0.4][       0.8,         1]         0.3427     5.781     0.549    0.8746    0.8173  -0.03749 +/-     0.0123   -0.3241 +/-     0.0123
[       0.4,       0.5][       0.8,         1]         0.4386     7.096    0.5586    0.8678    0.7838  -0.05244 +/-    0.02445   -0.2206 +/-    0.02441
[       0.5,       0.6][       0.8,         1]         0.5302     8.323    0.5214    0.8525    0.7605  -0.07611 +/-    0.08083   -0.1266 +/-    0.08069
[       0.1,       0.2][         1,       1.2]         0.1723     3.146     0.561     1.075    0.8843   -0.0109 +/-    0.02147   -0.2933 +/-    0.02144
[       0.2,       0.3][         1,       1.2]         0.2449     4.341    0.5831     1.073    0.8588  -0.02344 +/-    0.01713   -0.3988 +/-    0.01712
[       0.3,       0.4][         1,       1.2]         0.3388     5.753    0.5955     1.065    0.8228  -0.03848 +/-     0.0305   -0.3472 +/-    0.03045
[       0.4,       0.5][         1,       1.2]         0.4297     7.069    0.5681     1.049    0.7969  -0.05107 +/-    0.09026   -0.2257 +/-    0.09011
2D binning in z, xbj
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.3][       0.1,       0.2]         0.1728     3.154    0.2479    0.4742    0.8841 -0.006573 +/-   0.003625   -0.1069 +/-   0.003625
[       0.3,       0.4][       0.1,       0.2]         0.1737     3.166     0.342    0.6146     0.883  -0.01036 +/-   0.005604   -0.2077 +/-   0.005606
[       0.4,       0.5][       0.1,       0.2]         0.1743     3.175    0.4416    0.7443    0.8824  -0.01239 +/-   0.009795   -0.2804 +/-    0.00979
[       0.5,       0.6][       0.1,       0.2]          0.175     3.185     0.542    0.8647    0.8817  -0.01437 +/-    0.01717   -0.3445 +/-    0.01716
[       0.6,       0.7][       0.1,       0.2]         0.1755     3.192    0.6419    0.9798    0.8811  -0.01585 +/-    0.02966   -0.3915 +/-    0.02965
[       0.2,       0.3][       0.2,       0.3]         0.2473     4.375    0.2525    0.4341     0.857 -0.009932 +/-   0.002665    -0.101 +/-   0.002665
[       0.3,       0.4][       0.2,       0.3]         0.2501     4.402    0.3432    0.5502    0.8529  -0.01608 +/-   0.003661   -0.1961 +/-    0.00366
[       0.4,       0.5][       0.2,       0.3]         0.2518     4.421    0.4429     0.661    0.8506  -0.01932 +/-   0.005888   -0.2698 +/-   0.005889
[       0.5,       0.6][       0.2,       0.3]         0.2534     4.438    0.5431    0.7603    0.8485  -0.02223 +/-   0.009512   -0.3412 +/-   0.009509
[       0.6,       0.7][       0.2,       0.3]         0.2548     4.453    0.6431    0.8506    0.8466  -0.02402 +/-    0.01527    -0.404 +/-    0.01525
[       0.2,       0.3][       0.3,       0.4]         0.3448     5.804    0.2596    0.3767    0.8155  -0.01481 +/-   0.003743  -0.07591 +/-   0.003743
[       0.3,       0.4][       0.3,       0.4]         0.3473     5.805    0.3448    0.4643    0.8096  -0.02436 +/-   0.004329   -0.1444 +/-   0.004328
[       0.4,       0.5][       0.3,       0.4]         0.3486     5.809    0.4443    0.5545    0.8071  -0.02901 +/-   0.006323   -0.2037 +/-   0.006325
[       0.5,       0.6][       0.3,       0.4]         0.3499     5.813    0.5444    0.6327    0.8048   -0.0327 +/-   0.009332   -0.2655 +/-   0.009333
[       0.6,       0.7][       0.3,       0.4]         0.3508     5.814     0.644    0.6977    0.8028  -0.03404 +/-    0.01388   -0.3263 +/-    0.01386
[       0.2,       0.3][       0.4,       0.5]         0.4432     7.113    0.2662    0.3245    0.7776  -0.01846 +/-   0.005934  -0.04322 +/-   0.005935
[       0.3,       0.4][       0.4,       0.5]         0.4456      7.08    0.3458    0.3884    0.7697  -0.03253 +/-   0.005869  -0.08723 +/-   0.005872
[       0.4,       0.5][       0.4,       0.5]         0.4465     7.073    0.4454    0.4615    0.7674  -0.03844 +/-      0.008   -0.1257 +/-   0.007996
[       0.5,       0.6][       0.4,       0.5]         0.4473     7.066    0.5453    0.5234    0.7652   -0.0426 +/-    0.01111   -0.1681 +/-    0.01111
[       0.6,       0.7][       0.4,       0.5]         0.4477     7.054    0.6442    0.5623    0.7634  -0.04242 +/-    0.01591   -0.2104 +/-     0.0159
[       0.2,       0.3][       0.5,       0.6]         0.5414     8.321     0.272    0.2806    0.7446  -0.02233 +/-    0.01089   -0.0215 +/-    0.01089
[       0.3,       0.4][       0.5,       0.6]         0.5438     8.239    0.3466    0.3261     0.734  -0.04079 +/-   0.009332  -0.04338 +/-   0.009333
[       0.4,       0.5][       0.5,       0.6]         0.5444     8.225    0.4461    0.3853    0.7319  -0.04797 +/-    0.01219  -0.06376 +/-     0.0122
[       0.5,       0.6][       0.5,       0.6]         0.5447     8.209    0.5457    0.4296    0.7301   -0.0521 +/-     0.0164  -0.08694 +/-    0.01639
[       0.6,       0.7][       0.5,       0.6]         0.5433     8.176    0.6426    0.4288     0.729  -0.04718 +/-    0.02406   -0.1069 +/-    0.02403
[       0.2,       0.3][       0.6,       0.7]          0.639     9.459     0.277    0.2473    0.7172  -0.02554 +/-    0.02428 -0.007806 +/-     0.0243
[       0.3,       0.4][       0.6,       0.7]         0.6416     9.296     0.347    0.2781    0.7019  -0.05067 +/-    0.01811  -0.01684 +/-    0.01811
[       0.4,       0.5][       0.6,       0.7]         0.6414     9.276    0.4462    0.3215    0.7005  -0.05869 +/-    0.02337  -0.02521 +/-    0.02337
[       0.5,       0.6][       0.6,       0.7]         0.6396     9.246    0.5441    0.3323    0.7002  -0.05871 +/-    0.03232  -0.03421 +/-    0.03234
[       0.6,       0.7][       0.6,       0.7]         0.6286     9.167    0.6328    0.2874    0.7065  -0.04162 +/-    0.06157  -0.04048 +/-    0.06161
2D binning in z, pt
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.3][         0,       0.2]         0.4887     7.521     0.267     0.154    0.7455   -0.0116 +/-    0.01124   -0.0209 +/-    0.01124
[       0.3,       0.4][         0,       0.2]         0.5537     8.149    0.3421    0.1434    0.7129  -0.02212 +/-    0.01334  -0.02032 +/-    0.01335
[       0.4,       0.5][         0,       0.2]         0.5791     8.395    0.4432    0.1402    0.7023  -0.02411 +/-    0.02271  -0.02185 +/-    0.02272
[       0.5,       0.6][         0,       0.2]         0.5864     8.453    0.5432    0.1384    0.6983   -0.0237 +/-    0.03649  -0.02612 +/-    0.03651
[       0.6,       0.7][         0,       0.2]         0.5725     8.278    0.6409    0.1389    0.7005  -0.02021 +/-    0.05932  -0.03603 +/-    0.05929
[       0.2,       0.3][       0.2,       0.4]         0.3273     5.468    0.2534    0.3213    0.8094  -0.01334 +/-   0.002785  -0.06352 +/-   0.002785
[       0.3,       0.4][       0.2,       0.4]         0.4234     6.695    0.3408    0.3188     0.766  -0.02884 +/-   0.004633  -0.07773 +/-   0.004635
[       0.4,       0.5][       0.2,       0.4]         0.4772     7.336    0.4422    0.3176    0.7448  -0.03609 +/-   0.008687  -0.08103 +/-   0.008688
[       0.5,       0.6][       0.2,       0.4]         0.5046     7.643    0.5428    0.3168    0.7338  -0.03886 +/-    0.01487  -0.09013 +/-    0.01487
[       0.6,       0.7][       0.2,       0.4]         0.5092     7.687    0.6417    0.3169    0.7313   -0.0354 +/-    0.02498   -0.1093 +/-    0.02494
[       0.2,       0.3][       0.4,       0.6]         0.2628      4.57    0.2558    0.4811    0.8425  -0.01222 +/-   0.002387   -0.1029 +/-   0.002387
[       0.3,       0.4][       0.4,       0.6]         0.3177     5.328    0.3434    0.4962    0.8123  -0.02472 +/-   0.003158   -0.1516 +/-   0.003158
[       0.4,       0.5][       0.4,       0.6]         0.3718     6.049    0.4424    0.5041    0.7881   -0.0342 +/-   0.005494   -0.1693 +/-   0.005495
[       0.5,       0.6][       0.4,       0.6]         0.4177      6.64    0.5429    0.5055      0.77  -0.04132 +/-   0.009537   -0.1854 +/-   0.009536
[       0.6,       0.7][       0.4,       0.6]         0.4374     6.885    0.6422    0.5063    0.7627  -0.04077 +/-    0.01606   -0.2131 +/-    0.01605
[       0.2,       0.3][       0.6,       0.8]         0.2235     3.994    0.2729    0.6498    0.8658 -0.009928 +/-   0.006344   -0.1387 +/-   0.006341
[       0.3,       0.4][       0.6,       0.8]         0.2626     4.567    0.3497    0.6761    0.8426  -0.02012 +/-   0.004244   -0.2148 +/-   0.004245
[       0.4,       0.5][       0.6,       0.8]         0.3014     5.108    0.4455    0.6872     0.821  -0.02827 +/-   0.005555   -0.2458 +/-   0.005556
[       0.5,       0.6][       0.6,       0.8]         0.3363     5.585    0.5441    0.6943    0.8044  -0.03551 +/-   0.008407   -0.2781 +/-   0.008409
[       0.6,       0.7][       0.6,       0.8]         0.3637     5.962    0.6428    0.6979    0.7941  -0.03812 +/-    0.01366   -0.3163 +/-    0.01364
[       0.2,       0.3][       0.8,         1]         0.1932     3.526    0.2897    0.8253    0.8841 -0.004664 +/-    0.06613   -0.1016 +/-    0.06626
[       0.3,       0.4][       0.8,         1]         0.2251     4.018    0.3642    0.8555    0.8648  -0.01512 +/-    0.01123   -0.2619 +/-    0.01124
[       0.4,       0.5][       0.8,         1]         0.2598      4.53    0.4499    0.8743    0.8446  -0.02285 +/-   0.008986   -0.2995 +/-   0.008987
[       0.5,       0.6][       0.8,         1]         0.2882      4.93     0.547    0.8821    0.8286  -0.02973 +/-    0.01094   -0.3341 +/-    0.01094
[       0.6,       0.7][       0.8,         1]          0.301      5.11    0.6446    0.8872    0.8225  -0.03191 +/-    0.01525   -0.3796 +/-    0.01524
[       0.3,       0.4][         1,       1.2]         0.2018     3.661    0.3813     1.038     0.879 -0.009411 +/-    0.06965   -0.2418 +/-    0.06999
[       0.4,       0.5][         1,       1.2]         0.2273     4.052    0.4595     1.059    0.8636  -0.01718 +/-    0.02336   -0.3266 +/-    0.02339
[       0.5,       0.6][         1,       1.2]         0.2542     4.451    0.5504     1.073    0.8484  -0.02397 +/-     0.0201   -0.3573 +/-    0.02002
[       0.6,       0.7][         1,       1.2]         0.2631     4.578    0.6465     1.078     0.843  -0.02672 +/-    0.02372   -0.3938 +/-     0.0237
2D binning in pt, xbj
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.4][       0.1,       0.2]         0.1752     3.191    0.2388    0.3516     0.882 -0.005153 +/-   0.008205  -0.06635 +/-   0.008203
[       0.4,       0.6][       0.1,       0.2]         0.1733      3.16     0.277     0.499    0.8836 -0.007522 +/-   0.003986   -0.1264 +/-   0.003987
[       0.6,       0.8][       0.1,       0.2]         0.1726      3.15    0.3562    0.6816    0.8841  -0.01082 +/-   0.005539   -0.2292 +/-   0.005539
[       0.8,         1][       0.1,       0.2]         0.1726      3.15    0.4626    0.8786     0.884   -0.0132 +/-    0.01044   -0.3257 +/-    0.01043
[         1,       1.2][       0.1,       0.2]         0.1723     3.146     0.561     1.075    0.8843  -0.01372 +/-    0.02147   -0.3511 +/-    0.02144
[         0,       0.2][       0.2,       0.3]         0.2835     4.741    0.2399    0.1891    0.8102 -0.002533 +/-     0.1291  -0.01353 +/-     0.1288
[       0.2,       0.4][       0.2,       0.3]         0.2534     4.444    0.2619     0.337    0.8495 -0.009483 +/-    0.00439  -0.07801 +/-    0.00439
[       0.4,       0.6][       0.2,       0.3]         0.2485     4.386    0.3069    0.4942     0.855  -0.01314 +/-   0.002782   -0.1462 +/-   0.002782
[       0.6,       0.8][       0.2,       0.3]         0.2472      4.37    0.4004    0.6812    0.8565  -0.01847 +/-   0.004172   -0.2646 +/-    0.00417
[       0.8,         1][       0.2,       0.3]         0.2464     4.361     0.507    0.8775    0.8572  -0.02163 +/-    0.00796   -0.3637 +/-   0.007965
[         1,       1.2][       0.2,       0.3]         0.2449     4.341    0.5831     1.073    0.8588  -0.02146 +/-    0.01713    -0.378 +/-    0.01712
[         0,       0.2][       0.3,       0.4]         0.3647     5.891    0.2718    0.1764    0.7825 -0.006311 +/-    0.02434  -0.01978 +/-    0.02434
[       0.2,       0.4][       0.3,       0.4]         0.3496      5.82    0.3031    0.3205    0.8065  -0.01664 +/-   0.004267  -0.07867 +/-   0.004268
[       0.4,       0.6][       0.3,       0.4]         0.3456     5.799    0.3604    0.4888    0.8129  -0.02363 +/-   0.003672   -0.1488 +/-   0.003671
[       0.6,       0.8][       0.3,       0.4]         0.3441     5.791     0.462    0.6797    0.8152  -0.03213 +/-   0.006064   -0.2599 +/-   0.006067
[       0.8,         1][       0.3,       0.4]         0.3427     5.781     0.549    0.8746    0.8173  -0.03616 +/-     0.0123   -0.3368 +/-     0.0123
[         1,       1.2][       0.3,       0.4]         0.3388     5.753    0.5955     1.065    0.8228  -0.03395 +/-     0.0305   -0.3388 +/-    0.03045
[         0,       0.2][       0.4,       0.5]         0.4547     7.046     0.323    0.1596    0.7507  -0.01006 +/-    0.01365  -0.01915 +/-    0.01366
[       0.2,       0.4][       0.4,       0.5]         0.4465      7.08    0.3497    0.3091    0.7682  -0.02609 +/-   0.005157  -0.06668 +/-   0.005157
[       0.4,       0.6][       0.4,       0.5]         0.4435     7.092    0.4088    0.4849    0.7747  -0.03706 +/-   0.005701   -0.1224 +/-   0.005702
