Author: Andrew J. R. Puckett
n(e,e'pi+)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1733     3.161    0.3107    0.5624    0.8835 -0.006899 +/-    0.00285   -0.1392 +/-    0.00285
[       0.2,       0.3]         0.2492     4.394    0.3319    0.5276    0.8541  -0.01454 +/-   0.001958   -0.1748 +/-   0.001958
[       0.3,       0.4]          0.347     5.806    0.3633    0.4724    0.8106    -0.024 +/-   0.002439   -0.1485 +/-   0.002439
[       0.4,       0.5]         0.4454     7.084     0.389    0.4113    0.7705  -0.03158 +/-   0.003407  -0.09471 +/-   0.003407
[       0.5,       0.6]         0.5433     8.244    0.4032    0.3498    0.7351   -0.0428 +/-   0.005561  -0.05242 +/-   0.005561
[       0.6,       0.7]         0.6402     9.308    0.4001    0.2915    0.7044  -0.05289 +/-    0.01132  -0.01847 +/-    0.01132
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.3]         0.2989     5.063    0.2562    0.4054    0.8206   -0.0125 +/-   0.001724  -0.08453 +/-   0.001724
[       0.3,       0.4]         0.3454     5.663    0.3444    0.4745    0.7941  -0.02447 +/-   0.002162    -0.142 +/-   0.002162
[       0.4,       0.5]         0.3686     5.963    0.4442    0.5463    0.7836  -0.03109 +/-   0.003262   -0.1838 +/-   0.003262
[       0.5,       0.6]         0.3859     6.186    0.5443    0.6027    0.7766  -0.03591 +/-   0.004924   -0.2243 +/-   0.004923
[       0.6,       0.7]         0.3878     6.217    0.6431     0.651    0.7767  -0.03565 +/-   0.007545    -0.273 +/-   0.007538
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.5334      7.95    0.3489    0.1468     0.722   -0.0143 +/-   0.007737  -0.01329 +/-   0.007739
[       0.2,       0.4]         0.3778     6.103    0.3141      0.32    0.7826  -0.02204 +/-   0.002264  -0.06707 +/-   0.002264
[       0.4,       0.6]         0.3095     5.204    0.3384    0.4913    0.8146  -0.02115 +/-   0.001766   -0.1354 +/-   0.001766
[       0.6,       0.8]         0.2867     4.896      0.42      0.68    0.8275  -0.02517 +/-   0.002745    -0.245 +/-   0.002745
[       0.8,         1]         0.2694     4.662    0.5104     0.876    0.8382  -0.02565 +/-   0.005375    -0.339 +/-   0.005375
[         1,       1.2]         0.2473     4.345    0.5786     1.071    0.8514    -0.022 +/-    0.01195   -0.3603 +/-    0.01193
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][       0.2,       0.3]         0.1728     3.154    0.2479    0.4742    0.8841 -0.005625 +/-   0.003625  -0.09839 +/-   0.003625
[       0.2,       0.3][       0.2,       0.3]         0.2473     4.375    0.2525    0.4341     0.857  -0.01118 +/-   0.002665   -0.1093 +/-   0.002665
[       0.3,       0.4][       0.2,       0.3]         0.3448     5.804    0.2596    0.3767    0.8155   -0.0177 +/-   0.003743  -0.08204 +/-   0.003743
[       0.4,       0.5][       0.2,       0.3]         0.4432     7.113    0.2662    0.3245    0.7776  -0.02292 +/-   0.005934  -0.04798 +/-   0.005935
[       0.5,       0.6][       0.2,       0.3]         0.5414     8.321     0.272    0.2806    0.7446  -0.03132 +/-    0.01089  -0.02579 +/-    0.01089
[       0.6,       0.7][       0.2,       0.3]          0.639     9.459     0.277    0.2473    0.7172  -0.04046 +/-    0.02428 -0.009613 +/-     0.0243
[       0.1,       0.2][       0.3,       0.4]         0.1737     3.166     0.342    0.6146     0.883 -0.007486 +/-   0.005604   -0.1591 +/-   0.005606
[       0.2,       0.3][       0.3,       0.4]         0.2501     4.402    0.3432    0.5502    0.8529  -0.01551 +/-   0.003661   -0.1863 +/-    0.00366
[       0.3,       0.4][       0.3,       0.4]         0.3473     5.805    0.3448    0.4643    0.8096  -0.02397 +/-   0.004329   -0.1356 +/-   0.004328
[       0.4,       0.5][       0.3,       0.4]         0.4456      7.08    0.3458    0.3884    0.7697  -0.03025 +/-   0.005869  -0.07671 +/-   0.005872
[       0.5,       0.6][       0.3,       0.4]         0.5438     8.239    0.3466    0.3261     0.734  -0.04026 +/-   0.009332  -0.03991 +/-   0.009333
[       0.6,       0.7][       0.3,       0.4]         0.6416     9.296     0.347    0.2781    0.7019  -0.05071 +/-    0.01811  -0.01442 +/-    0.01811
[       0.1,       0.2][       0.4,       0.5]         0.1743     3.175    0.4416    0.7443    0.8824 -0.009368 +/-   0.009795   -0.2253 +/-    0.00979
[       0.2,       0.3][       0.4,       0.5]         0.2518     4.421    0.4429     0.661    0.8506  -0.01937 +/-   0.005888   -0.2702 +/-   0.005889
[       0.3,       0.4][       0.4,       0.5]         0.3486     5.809    0.4443    0.5545    0.8071  -0.02977 +/-   0.006323   -0.2014 +/-   0.006325
[       0.4,       0.5][       0.4,       0.5]         0.4465     7.073    0.4454    0.4615    0.7674  -0.03735 +/-      0.008   -0.1161 +/-   0.007996
[       0.5,       0.6][       0.4,       0.5]         0.5444     8.225    0.4461    0.3853    0.7319  -0.04951 +/-    0.01219  -0.06146 +/-     0.0122
[       0.6,       0.7][       0.4,       0.5]         0.6414     9.276    0.4462    0.3215    0.7005  -0.06102 +/-    0.02337  -0.02242 +/-    0.02337
[       0.1,       0.2][       0.5,       0.6]          0.175     3.185     0.542    0.8647    0.8817  -0.01091 +/-    0.01717   -0.2777 +/-    0.01716
[       0.2,       0.3][       0.5,       0.6]         0.2534     4.438    0.5431    0.7603    0.8485  -0.02227 +/-   0.009512   -0.3453 +/-   0.009509
[       0.3,       0.4][       0.5,       0.6]         0.3499     5.813    0.5444    0.6327    0.8048  -0.03364 +/-   0.009332   -0.2659 +/-   0.009333
[       0.4,       0.5][       0.5,       0.6]         0.4473     7.066    0.5453    0.5234    0.7652  -0.04157 +/-    0.01111   -0.1571 +/-    0.01111
[       0.5,       0.6][       0.5,       0.6]         0.5447     8.209    0.5457    0.4296    0.7301  -0.05407 +/-     0.0164  -0.08439 +/-    0.01639
