Author: Andrew J. R. Puckett
n(e,e'K-)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1683     2.403    0.3733    0.5097    0.8645  0.007696 +/-   0.007301   -0.1154 +/-   0.007303
[       0.2,       0.3]         0.2461     3.366    0.3864    0.4522    0.8281   0.01224 +/-   0.006279   -0.1192 +/-   0.006278
[       0.3,       0.4]         0.3445      4.43    0.4048    0.3772    0.7787   0.01589 +/-   0.009234  -0.08677 +/-   0.009238
[       0.4,       0.5]          0.443      5.38    0.4189    0.3117    0.7354    0.0163 +/-    0.01488  -0.04836 +/-    0.01488
[       0.5,       0.6]         0.5407     6.236    0.4246    0.2575    0.6985   0.01622 +/-    0.02758  -0.02359 +/-    0.02759
[       0.6,       0.7]         0.6304     7.042    0.4118    0.1991    0.6764   0.01155 +/-    0.06848 -0.006437 +/-    0.06857
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[      0.25,      0.35]         0.2524     3.406    0.3139    0.3824    0.8173  0.008372 +/-   0.006275  -0.07109 +/-   0.006277
[      0.35,      0.45]         0.3027       3.9    0.3929    0.4178      0.78   0.01437 +/-   0.006534   -0.1066 +/-   0.006534
[      0.45,      0.55]         0.3068     3.936    0.4916    0.4931    0.7768   0.01488 +/-    0.01006    -0.129 +/-    0.01006
[      0.55,      0.65]         0.2987     3.855    0.5919    0.5701    0.7816     0.013 +/-    0.01562   -0.1498 +/-    0.01561
[      0.65,      0.75]         0.2783      3.65    0.6899    0.6331    0.7941  0.009467 +/-    0.02524   -0.1722 +/-    0.02527
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.4448     5.282    0.3929    0.1448    0.7192  0.006223 +/-    0.01938  -0.01676 +/-    0.01938
[       0.2,       0.4]         0.3084     3.983    0.3649    0.3164    0.7821   0.01176 +/-   0.006777  -0.06718 +/-   0.006778
[       0.4,       0.6]         0.2508     3.378    0.3873    0.4859    0.8156   0.01344 +/-   0.005913   -0.1235 +/-   0.005914
[       0.6,       0.8]          0.226     3.106    0.4708    0.6738    0.8321   0.01293 +/-    0.01009   -0.1787 +/-    0.01009
[       0.8,         1]         0.2069     2.888    0.5634    0.8697    0.8453   0.00965 +/-    0.02152   -0.2079 +/-    0.02149
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][      0.25,      0.35]         0.1678     2.399    0.3065    0.4346    0.8656  0.007532 +/-     0.0106  -0.09047 +/-    0.01061
[       0.2,       0.3][      0.25,      0.35]         0.2442     3.356     0.313    0.3862    0.8322   0.01106 +/-   0.009682    -0.091 +/-   0.009682
[       0.3,       0.4][      0.25,      0.35]         0.3418     4.442    0.3225    0.3242     0.787   0.01316 +/-    0.01595  -0.06403 +/-    0.01595
[       0.4,       0.5][      0.25,      0.35]          0.439     5.455    0.3301    0.2767    0.7525   0.01287 +/-    0.03102  -0.03565 +/-    0.03105
[       0.5,       0.6][      0.25,      0.35]          0.536     6.451    0.3355    0.2436    0.7289   0.01306 +/-    0.07552  -0.01834 +/-    0.07548
[       0.6,       0.7][      0.25,      0.35]         0.6314     7.426    0.3394     0.213    0.7123   0.01098 +/-     0.2377 -0.005959 +/-     0.2387
[       0.1,       0.2][      0.35,      0.45]         0.1689     2.409    0.3921    0.5361    0.8637  0.008659 +/-    0.01319   -0.1286 +/-     0.0132
[       0.2,       0.3][      0.35,      0.45]         0.2475     3.375    0.3925    0.4609    0.8256   0.01351 +/-    0.01079   -0.1259 +/-    0.01078
[       0.3,       0.4][      0.35,      0.45]         0.3459     4.428    0.3931    0.3699    0.7752    0.0164 +/-    0.01449  -0.08497 +/-     0.0145
[       0.4,       0.5][      0.35,      0.45]         0.4443     5.363    0.3937    0.2979     0.731   0.01577 +/-    0.02147  -0.04459 +/-    0.02146
[       0.5,       0.6][      0.35,      0.45]          0.542     6.218    0.3955    0.2492    0.6948   0.01563 +/-    0.03726  -0.02173 +/-    0.03728
[       0.6,       0.7][      0.35,      0.45]         0.6325     7.025    0.3964     0.198    0.6726   0.01155 +/-    0.08303 -0.006292 +/-    0.08305
[       0.1,       0.2][      0.45,      0.55]         0.1689     2.408    0.4916    0.6441    0.8632  0.007641 +/-    0.02017    -0.161 +/-    0.02015
[       0.2,       0.3][      0.45,      0.55]          0.248     3.375    0.4917    0.5508     0.824   0.01386 +/-    0.01652   -0.1612 +/-    0.01652
[       0.3,       0.4][      0.45,      0.55]         0.3462     4.423    0.4919    0.4399    0.7736   0.01904 +/-    0.02269    -0.113 +/-     0.0227
[       0.4,       0.5][      0.45,      0.55]         0.4447     5.356    0.4919    0.3522    0.7294   0.01949 +/-    0.03338  -0.06079 +/-    0.03339
[       0.5,       0.6][      0.45,      0.55]         0.5419     6.186    0.4914    0.2793    0.6912   0.01871 +/-    0.05627  -0.02859 +/-    0.05628
[       0.6,       0.7][      0.45,      0.55]         0.6239     6.942    0.4846    0.1989    0.6737   0.01082 +/-     0.1454 -0.006813 +/-      0.146
[       0.1,       0.2][      0.55,      0.65]         0.1689     2.407    0.5924    0.7437    0.8627  0.004867 +/-    0.03021   -0.1794 +/-    0.03015
