Author: Andrew J. R. Puckett
n(e,e'pi+)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1695     2.418     0.395    0.5371    0.8639 -0.009507 +/-   0.002827   -0.1796 +/-   0.002827
[       0.2,       0.3]         0.2481     3.384    0.4192    0.4823    0.8261  -0.01776 +/-    0.00222   -0.2054 +/-    0.00222
[       0.3,       0.4]          0.346     4.435    0.4471    0.4049    0.7761  -0.02616 +/-   0.002908    -0.161 +/-   0.002908
[       0.4,       0.5]          0.444     5.371    0.4625    0.3313    0.7324  -0.03111 +/-   0.004436  -0.09324 +/-   0.004436
[       0.5,       0.6]         0.5413     6.215    0.4613    0.2698    0.6952  -0.03936 +/-   0.008388  -0.04726 +/-    0.00839
[       0.6,       0.7]         0.6351     7.001    0.4394    0.2191    0.6676  -0.04527 +/-    0.02055  -0.01534 +/-    0.02056
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[      0.25,      0.35]         0.2655     3.548    0.3119    0.3774     0.809  -0.01157 +/-   0.002294  -0.09739 +/-   0.002294
[      0.35,      0.45]         0.3192     4.066     0.396    0.4122    0.7714  -0.02286 +/-   0.002377   -0.1511 +/-   0.002377
[      0.45,      0.55]         0.3324     4.195    0.4955    0.4744    0.7643  -0.02704 +/-    0.00322   -0.1967 +/-    0.00322
[      0.55,      0.65]         0.3352      4.23     0.595    0.5313    0.7642   -0.0291 +/-   0.004449   -0.2513 +/-   0.004449
[      0.65,      0.75]         0.3177     4.065    0.6912    0.5781    0.7747  -0.02657 +/-   0.006751   -0.3214 +/-   0.006752
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.4659     5.451    0.4247    0.1414    0.7085   -0.0131 +/-   0.006306  -0.02645 +/-   0.006307
[       0.2,       0.4]          0.337     4.266    0.3945    0.3143    0.7665  -0.02082 +/-   0.002351  -0.09991 +/-   0.002351
[       0.4,       0.6]          0.275     3.637    0.4233    0.4885     0.801  -0.02213 +/-   0.002087   -0.1941 +/-   0.002087
[       0.6,       0.8]         0.2476      3.35    0.5108    0.6779    0.8193  -0.02383 +/-   0.003457   -0.3057 +/-   0.003456
[       0.8,         1]         0.2231     3.082    0.5888    0.8718    0.8365  -0.02291 +/-   0.007291   -0.3791 +/-   0.007292
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][      0.25,      0.35]         0.1686     2.409    0.3034     0.438    0.8652 -0.007384 +/-   0.004064   -0.1185 +/-   0.004065
[       0.2,       0.3][      0.25,      0.35]         0.2454     3.367    0.3099    0.3884     0.831  -0.01346 +/-   0.003543   -0.1235 +/-   0.003542
[       0.3,       0.4][      0.25,      0.35]         0.3429     4.444    0.3193    0.3252    0.7847  -0.01983 +/-   0.005529  -0.09015 +/-    0.00553
[       0.4,       0.5][      0.25,      0.35]         0.4404     5.437    0.3272    0.2752    0.7477  -0.02425 +/-    0.01026  -0.05217 +/-    0.01026
[       0.5,       0.6][      0.25,      0.35]         0.5375     6.406     0.333    0.2412    0.7216  -0.03216 +/-    0.02409  -0.02856 +/-    0.02409
[       0.6,       0.7][      0.25,      0.35]          0.634     7.359    0.3373     0.218    0.7029  -0.04093 +/-    0.07317  -0.01108 +/-    0.07329
[       0.1,       0.2][      0.35,      0.45]         0.1698     2.421    0.3944    0.5435    0.8634 -0.009859 +/-   0.005223   -0.1849 +/-   0.005224
[       0.2,       0.3][      0.35,      0.45]         0.2487     3.388    0.3954    0.4676    0.8249  -0.01751 +/-   0.003948   -0.1874 +/-   0.003948
[       0.3,       0.4][      0.35,      0.45]         0.3465     4.434    0.3964    0.3763    0.7749  -0.02483 +/-   0.004965   -0.1305 +/-   0.004964
[       0.4,       0.5][      0.35,      0.45]         0.4448     5.366    0.3971    0.3034    0.7305  -0.02918 +/-   0.007292  -0.07139 +/-   0.007293
[       0.5,       0.6][      0.35,      0.45]         0.5427     6.208    0.3982    0.2535    0.6927  -0.03767 +/-    0.01302  -0.03718 +/-    0.01302
[       0.6,       0.7][      0.35,      0.45]         0.6381         7    0.4001    0.2195    0.6643  -0.04604 +/-    0.02846  -0.01386 +/-    0.02848
[       0.1,       0.2][      0.45,      0.55]         0.1704     2.427     0.494    0.6487    0.8627  -0.01211 +/-   0.007726   -0.2537 +/-   0.007727
[       0.2,       0.3][      0.45,      0.55]         0.2499     3.397     0.495    0.5547     0.823  -0.02131 +/-   0.005485   -0.2644 +/-   0.005484
[       0.3,       0.4][      0.45,      0.55]         0.3473     4.434     0.496    0.4446     0.773  -0.02987 +/-   0.006457   -0.1886 +/-   0.006457
[       0.4,       0.5][      0.45,      0.55]         0.4453      5.36    0.4966    0.3569    0.7289  -0.03473 +/-   0.009104   -0.1048 +/-   0.009103
[       0.5,       0.6][      0.45,      0.55]          0.543      6.19    0.4966    0.2905    0.6903   -0.0436 +/-    0.01591  -0.05425 +/-    0.01592
[       0.6,       0.7][      0.45,      0.55]         0.6338     6.941    0.4931    0.2233    0.6632  -0.04525 +/-    0.03614  -0.01779 +/-    0.03614
[       0.1,       0.2][      0.55,      0.65]          0.171     2.433    0.5941    0.7463     0.862  -0.01386 +/-    0.01151   -0.3135 +/-    0.01151
