Author: Andrew J. R. Puckett
n(e,e'K-)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1727     3.151     0.299    0.5415    0.8838  0.006358 +/-   0.007849   -0.1003 +/-   0.007848
[       0.2,       0.3]         0.2479     4.377    0.3107    0.5001    0.8553   0.01062 +/-   0.005625   -0.1121 +/-   0.005624
[       0.3,       0.4]         0.3458     5.797    0.3294    0.4402    0.8123   0.01431 +/-   0.007411  -0.08557 +/-   0.007411
[       0.4,       0.5]         0.4444     7.088    0.3459    0.3812    0.7727   0.01543 +/-    0.01065     -0.05 +/-    0.01065
[       0.5,       0.6]         0.5428     8.261    0.3584     0.327    0.7373    0.0164 +/-    0.01706  -0.02568 +/-    0.01705
[       0.6,       0.7]         0.6398     9.331    0.3622    0.2753    0.7066   0.01437 +/-    0.03281 -0.008181 +/-     0.0328
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.3]         0.2895     4.933    0.2583    0.4077    0.8256  0.007961 +/-   0.004887   -0.0641 +/-   0.004886
[       0.3,       0.4]         0.3336     5.503    0.3419    0.4766    0.7992   0.01429 +/-    0.00608    -0.103 +/-   0.006079
[       0.4,       0.5]         0.3493     5.707    0.4404    0.5584    0.7914    0.0168 +/-     0.0104   -0.1246 +/-     0.0104
[       0.5,       0.6]         0.3555     5.784    0.5404    0.6325    0.7882   0.01746 +/-    0.01838   -0.1404 +/-    0.01837
[       0.6,       0.7]         0.3482     5.691    0.6404    0.7028    0.7917   0.01587 +/-    0.03212   -0.1544 +/-    0.03212
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.5173     7.788    0.3224    0.1491    0.7293  0.005209 +/-    0.02217 -0.008647 +/-    0.02218
[       0.2,       0.4]         0.3546     5.809    0.2942    0.3215    0.7936   0.01069 +/-   0.006506  -0.04888 +/-   0.006507
[       0.4,       0.6]         0.2873     4.901    0.3127    0.4894    0.8264   0.01208 +/-   0.005099  -0.09509 +/-   0.005099
[       0.6,       0.8]         0.2621     4.547    0.3803    0.6759    0.8404   0.01446 +/-   0.008256   -0.1583 +/-   0.008249
[       0.8,         1]         0.2466     4.324    0.4683    0.8723    0.8496   0.01364 +/-    0.01709   -0.2028 +/-    0.01708
[         1,       1.2]         0.2292     4.068    0.5492     1.069    0.8598   0.01002 +/-    0.03867    -0.203 +/-    0.03867
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][       0.2,       0.3]         0.1724     3.147    0.2508    0.4715    0.8843  0.005799 +/-    0.01012  -0.07875 +/-    0.01012
[       0.2,       0.3][       0.2,       0.3]         0.2466     4.365    0.2552    0.4315    0.8574  0.009072 +/-   0.007554  -0.08501 +/-   0.007552
[       0.3,       0.4][       0.2,       0.3]         0.3441     5.798    0.2623    0.3744    0.8162    0.0113 +/-    0.01074  -0.06129 +/-    0.01074
[       0.4,       0.5][       0.2,       0.3]         0.4427     7.115    0.2689    0.3227    0.7787   0.01153 +/-    0.01705  -0.03438 +/-    0.01705
[       0.5,       0.6][       0.2,       0.3]         0.5408     8.335    0.2748    0.2801    0.7467   0.01206 +/-    0.03084  -0.01746 +/-    0.03083
[       0.6,       0.7][       0.2,       0.3]         0.6382     9.495    0.2797    0.2466    0.7208   0.01098 +/-    0.06726 -0.005802 +/-    0.06709
[       0.1,       0.2][       0.3,       0.4]         0.1732     3.157    0.3402    0.6078    0.8832  0.007046 +/-    0.01502   -0.1161 +/-    0.01502
[       0.2,       0.3][       0.3,       0.4]         0.2492     4.389     0.341    0.5436    0.8532   0.01227 +/-    0.01026   -0.1315 +/-    0.01026
[       0.3,       0.4][       0.3,       0.4]         0.3468     5.798    0.3422     0.458    0.8099   0.01559 +/-    0.01256  -0.09238 +/-    0.01256
[       0.4,       0.5][       0.3,       0.4]         0.4452     7.077    0.3431    0.3827      0.77   0.01576 +/-    0.01697  -0.05005 +/-    0.01697
[       0.5,       0.6][       0.3,       0.4]         0.5436     8.237    0.3438    0.3205    0.7341   0.01605 +/-    0.02595  -0.02436 +/-    0.02595
[       0.6,       0.7][       0.3,       0.4]          0.641     9.294    0.3439    0.2711    0.7024   0.01408 +/-    0.04744 -0.007712 +/-    0.04746
[       0.1,       0.2][       0.4,       0.5]         0.1734      3.16    0.4393    0.7382    0.8827   0.00748 +/-     0.0272   -0.1594 +/-    0.02721
[       0.2,       0.3][       0.4,       0.5]         0.2503     4.399    0.4397    0.6562    0.8513   0.01388 +/-    0.01812   -0.1751 +/-    0.01812
[       0.3,       0.4][       0.4,       0.5]         0.3477     5.797    0.4406    0.5496    0.8076   0.01931 +/-    0.02144   -0.1272 +/-    0.02144
[       0.4,       0.5][       0.4,       0.5]         0.4459     7.067    0.4413    0.4571    0.7678   0.02041 +/-    0.02766  -0.07055 +/-    0.02765
[       0.5,       0.6][       0.4,       0.5]          0.544     8.224    0.4417    0.3807    0.7324     0.021 +/-    0.04023   -0.0347 +/-    0.04024
[       0.6,       0.7][       0.4,       0.5]         0.6404     9.266    0.4416    0.3082    0.7009   0.01778 +/-    0.07184  -0.01072 +/-    0.07172
[       0.1,       0.2][       0.5,       0.6]         0.1736     3.161    0.5398    0.8613    0.8821  0.005371 +/-    0.04843    -0.167 +/-    0.04847
[       0.2,       0.3][       0.5,       0.6]          0.251     4.402    0.5402    0.7584    0.8497   0.01252 +/-    0.03192   -0.1991 +/-    0.03195
[       0.3,       0.4][       0.5,       0.6]         0.3484     5.793    0.5407    0.6296    0.8055   0.02035 +/-     0.0384   -0.1515 +/-    0.03822
[       0.4,       0.5][       0.5,       0.6]         0.4465     7.057    0.5409    0.5197    0.7657   0.02336 +/-    0.04885  -0.08718 +/-    0.04884
[       0.5,       0.6][       0.5,       0.6]         0.5441     8.206    0.5407    0.4228    0.7306   0.02428 +/-    0.06861  -0.04333 +/-    0.06865
[       0.6,       0.7][       0.5,       0.6]         0.6359     9.222    0.5376     0.314    0.7025    0.0183 +/-     0.1287   -0.0124 +/-     0.1295
[       0.1,       0.2][       0.6,       0.7]         0.1736      3.16    0.6404    0.9759    0.8817  0.003374 +/-    0.08335   -0.1707 +/-    0.08352
[       0.2,       0.3][       0.6,       0.7]         0.2515     4.404     0.641    0.8515    0.8482  0.009638 +/-    0.05407   -0.2087 +/-    0.05394
