Author: Andrew J. R. Puckett
n(e,e'K+)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1696     2.419    0.4241    0.5624    0.8636 -0.006256 +/-   0.006411   -0.1991 +/-   0.006411
[       0.2,       0.3]         0.2486     3.388    0.4506    0.5039    0.8251  -0.01034 +/-   0.005063   -0.2422 +/-   0.005064
[       0.3,       0.4]         0.3464     4.434    0.4765    0.4188    0.7751  -0.01311 +/-   0.006627   -0.1963 +/-   0.006626
[       0.4,       0.5]          0.444     5.365    0.4858    0.3366    0.7317  -0.01293 +/-    0.01022   -0.1145 +/-    0.01023
[       0.5,       0.6]         0.5402     6.207     0.474    0.2652    0.6958  -0.01243 +/-    0.02021  -0.05628 +/-    0.02022
[       0.6,       0.7]         0.6283     7.007    0.4358    0.1977    0.6753 -0.008175 +/-    0.05809  -0.01485 +/-    0.05805
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[      0.25,      0.35]           0.26     3.491    0.3166    0.3797    0.8129 -0.003829 +/-   0.005707  -0.07398 +/-   0.005706
[      0.35,      0.45]         0.3157     4.035    0.3983    0.4114     0.774 -0.009116 +/-   0.005355   -0.1528 +/-   0.005356
[      0.45,      0.55]         0.3287     4.165     0.497    0.4741    0.7672  -0.01309 +/-   0.006944   -0.2287 +/-   0.006944
[      0.55,      0.65]         0.3299     4.184    0.5954    0.5316    0.7679  -0.01644 +/-   0.009203   -0.3019 +/-   0.009204
[      0.65,      0.75]           0.31     3.991    0.6903    0.5779    0.7795  -0.01764 +/-    0.01394   -0.3736 +/-    0.01393
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.4654     5.444    0.4467    0.1407    0.7084 -0.004499 +/-    0.01493  -0.03099 +/-    0.01493
[       0.2,       0.4]         0.3449     4.345    0.4214    0.3144    0.7629 -0.008835 +/-   0.005527   -0.1092 +/-   0.005526
[       0.4,       0.6]          0.281     3.702     0.451    0.4909     0.798  -0.01158 +/-   0.004793   -0.2186 +/-   0.004793
[       0.6,       0.8]         0.2492      3.37    0.5286    0.6799    0.8189  -0.01461 +/-   0.007554   -0.3536 +/-   0.007556
[       0.8,         1]         0.2218     3.069    0.5941    0.8722    0.8378  -0.01567 +/-    0.01539   -0.4378 +/-    0.01539
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][      0.25,      0.35]         0.1683     2.405    0.3089    0.4374    0.8653 -0.003374 +/-   0.009811  -0.09438 +/-   0.009805
[       0.2,       0.3][      0.25,      0.35]          0.245     3.364    0.3153    0.3875    0.8313 -0.005248 +/-   0.008798    -0.102 +/-   0.008798
[       0.3,       0.4][      0.25,      0.35]         0.3425     4.444    0.3242    0.3244    0.7858 -0.006451 +/-    0.01415  -0.07656 +/-    0.01415
[       0.4,       0.5][      0.25,      0.35]         0.4396     5.453    0.3312     0.276    0.7512 -0.006489 +/-    0.02728  -0.04528 +/-    0.02728
[       0.5,       0.6][      0.25,      0.35]         0.5363     6.448    0.3362    0.2436    0.7281  -0.00685 +/-    0.06762  -0.02507 +/-    0.06752
[       0.6,       0.7][      0.25,      0.35]         0.6315      7.42    0.3398     0.213    0.7115 -0.006075 +/-     0.2228  -0.00913 +/-     0.2225
[       0.1,       0.2][      0.35,      0.45]         0.1697     2.419    0.3963    0.5402    0.8635 -0.005716 +/-    0.01146   -0.1794 +/-    0.01146
[       0.2,       0.3][      0.35,      0.45]         0.2486     3.387    0.3975    0.4647     0.825 -0.008496 +/-    0.00883   -0.1877 +/-   0.008833
[       0.3,       0.4][      0.35,      0.45]         0.3465     4.434    0.3987    0.3738     0.775 -0.009964 +/-    0.01127   -0.1338 +/-    0.01128
[       0.4,       0.5][      0.35,      0.45]         0.4447     5.367    0.3996    0.3014    0.7309  -0.00964 +/-    0.01676  -0.07449 +/-    0.01676
[       0.5,       0.6][      0.35,      0.45]         0.5424     6.216    0.4015    0.2514     0.694 -0.009996 +/-    0.03069  -0.03953 +/-    0.03068
[       0.6,       0.7][      0.35,      0.45]         0.6322     7.012    0.4021    0.1984    0.6716 -0.007779 +/-    0.07374  -0.01305 +/-    0.07371
[       0.1,       0.2][      0.45,      0.55]         0.1704     2.428    0.4954    0.6463    0.8627 -0.008411 +/-    0.01619   -0.2817 +/-    0.01619
[       0.2,       0.3][      0.45,      0.55]           0.25     3.398    0.4965    0.5525     0.823  -0.01242 +/-    0.01164   -0.3012 +/-    0.01164
[       0.3,       0.4][      0.45,      0.55]         0.3474     4.435    0.4976    0.4429     0.773  -0.01464 +/-    0.01393   -0.2209 +/-    0.01392
[       0.4,       0.5][      0.45,      0.55]         0.4453     5.361    0.4982    0.3546     0.729  -0.01429 +/-    0.02007   -0.1259 +/-    0.02007
[       0.5,       0.6][      0.45,      0.55]         0.5422     6.189    0.4978    0.2803    0.6913  -0.01431 +/-    0.03668  -0.06548 +/-    0.03673
[       0.6,       0.7][      0.45,      0.55]         0.6231     6.941    0.4904    0.1977    0.6746 -0.009014 +/-     0.1091  -0.01838 +/-     0.1091
[       0.1,       0.2][      0.55,      0.65]         0.1711     2.435    0.5947    0.7433    0.8619   -0.0107 +/-    0.02314   -0.3615 +/-    0.02314
[       0.2,       0.3][      0.55,      0.65]         0.2512     3.406    0.5956     0.631    0.8212  -0.01575 +/-    0.01559   -0.3974 +/-     0.0156
[       0.3,       0.4][      0.55,      0.65]         0.3481     4.433    0.5964    0.5014    0.7713  -0.01849 +/-    0.01758   -0.2984 +/-    0.01757
[       0.4,       0.5][      0.55,      0.65]         0.4451      5.35    0.5961    0.3884    0.7279  -0.01762 +/-    0.02487   -0.1695 +/-    0.02488
[       0.5,       0.6][      0.55,      0.65]         0.5359     6.162    0.5908    0.2759    0.6963  -0.01526 +/-    0.05078  -0.07907 +/-    0.05075
