Author: Andrew J. R. Puckett
n(e,e'pi0)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1737     3.168    0.3372    0.5974    0.8836 -0.007443 +/-    0.00411   -0.1568 +/-   0.004109
[       0.2,       0.3]         0.2496     4.402    0.3604     0.565    0.8543  -0.01567 +/-    0.00276   -0.1981 +/-    0.00276
[       0.3,       0.4]         0.3472     5.812    0.3943    0.5047    0.8109  -0.02576 +/-    0.00337   -0.1688 +/-   0.003369
[       0.4,       0.5]         0.4455     7.089    0.4208    0.4371     0.771  -0.03362 +/-   0.004642   -0.1074 +/-   0.004643
[       0.5,       0.6]         0.5433     8.251    0.4336    0.3692    0.7358  -0.04507 +/-   0.007559  -0.05891 +/-   0.007559
[       0.6,       0.7]         0.6398      9.32    0.4267    0.3046    0.7057  -0.05472 +/-    0.01553  -0.02036 +/-    0.01552
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.2,       0.3]         0.2948     5.018    0.2612    0.4173    0.8244  -0.01237 +/-   0.002801  -0.09198 +/-   0.002801
[       0.3,       0.4]         0.3395     5.597    0.3463     0.485    0.7986   -0.0239 +/-   0.002866    -0.145 +/-   0.002866
[       0.4,       0.5]         0.3644     5.918    0.4452    0.5554    0.7866  -0.03054 +/-   0.003964   -0.1855 +/-   0.003963
[       0.5,       0.6]         0.3826     6.151    0.5448    0.6103     0.779  -0.03548 +/-   0.005698   -0.2252 +/-   0.005698
[       0.6,       0.7]         0.3869      6.21    0.6433    0.6556    0.7776  -0.03588 +/-   0.008505   -0.2696 +/-   0.008498
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.5425     8.021     0.383    0.1457    0.7162  -0.01666 +/-    0.01174  -0.01691 +/-    0.01174
[       0.2,       0.4]         0.3941     6.312    0.3411    0.3215    0.7759  -0.02489 +/-    0.00349  -0.07375 +/-    0.00349
[       0.4,       0.6]         0.3188     5.339     0.362    0.4947    0.8112  -0.02265 +/-   0.002511   -0.1424 +/-   0.002511
[       0.6,       0.8]         0.2929     4.997    0.4362    0.6827    0.8263  -0.02582 +/-   0.003483   -0.2446 +/-   0.003483
[       0.8,         1]         0.2755     4.764    0.5194    0.8778    0.8378  -0.02608 +/-   0.006317   -0.3305 +/-   0.006318
[         1,       1.2]         0.2559     4.492    0.5859     1.073    0.8504  -0.02277 +/-     0.0133   -0.3535 +/-    0.01329
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][       0.2,       0.3]         0.1731     3.159    0.2544    0.4836    0.8844 -0.005888 +/-   0.005849    -0.106 +/-   0.005847
[       0.2,       0.3][       0.2,       0.3]         0.2472     4.378    0.2583    0.4458    0.8581  -0.01166 +/-   0.004285   -0.1178 +/-   0.004288
[       0.3,       0.4][       0.2,       0.3]         0.3444     5.811    0.2644    0.3863    0.8173  -0.01849 +/-   0.006111  -0.08876 +/-    0.00611
[       0.4,       0.5][       0.2,       0.3]         0.4427     7.129    0.2699    0.3316    0.7801  -0.02397 +/-   0.009893  -0.05214 +/-   0.009895
[       0.5,       0.6][       0.2,       0.3]         0.5409     8.352    0.2747    0.2861     0.748  -0.03275 +/-    0.01862  -0.02819 +/-    0.01862
[       0.6,       0.7][       0.2,       0.3]         0.6385     9.506    0.2788    0.2505    0.7212  -0.04215 +/-    0.04262  -0.01053 +/-    0.04259
[       0.1,       0.2][       0.3,       0.4]         0.1738     3.169    0.3438    0.6162    0.8833 -0.007472 +/-    0.00729   -0.1594 +/-   0.007289
[       0.2,       0.3][       0.3,       0.4]         0.2499     4.404     0.345    0.5579    0.8539   -0.0155 +/-   0.004778   -0.1874 +/-   0.004776
[       0.3,       0.4][       0.3,       0.4]          0.347     5.811    0.3467    0.4717    0.8112  -0.02408 +/-   0.005756   -0.1376 +/-   0.005754
[       0.4,       0.5][       0.3,       0.4]         0.4453     7.092    0.3479    0.3949    0.7717   -0.0305 +/-   0.007938  -0.07838 +/-   0.007947
[       0.5,       0.6][       0.3,       0.4]         0.5435     8.262    0.3491    0.3316    0.7365  -0.04064 +/-    0.01287    -0.041 +/-    0.01288
[       0.6,       0.7][       0.3,       0.4]         0.6411     9.333    0.3499    0.2825    0.7052  -0.05096 +/-    0.02549  -0.01484 +/-    0.02547
[       0.1,       0.2][       0.4,       0.5]         0.1745     3.179    0.4425    0.7421    0.8826  -0.00928 +/-    0.01166   -0.2231 +/-    0.01166
[       0.2,       0.3][       0.4,       0.5]         0.2516     4.422    0.4438    0.6674    0.8515  -0.01924 +/-   0.007059   -0.2686 +/-   0.007058
[       0.3,       0.4][       0.4,       0.5]         0.3484     5.814    0.4453    0.5611    0.8083  -0.02972 +/-    0.00768   -0.2016 +/-    0.00768
[       0.4,       0.5][       0.4,       0.5]         0.4463     7.082    0.4465    0.4676    0.7688  -0.03741 +/-   0.009848   -0.1169 +/-   0.009845
[       0.5,       0.6][       0.4,       0.5]         0.5442      8.24    0.4472    0.3903    0.7335  -0.04953 +/-    0.01519  -0.06197 +/-    0.01519
[       0.6,       0.7][       0.4,       0.5]         0.6412     9.299    0.4474    0.3258    0.7025   -0.0605 +/-     0.0295  -0.02247 +/-     0.0295
[       0.1,       0.2][       0.5,       0.6]         0.1751     3.187    0.5424    0.8581     0.882  -0.01079 +/-    0.01942   -0.2743 +/-    0.01941
