Author: Andrew J. R. Puckett
n(e,e'pi0)X
Format of the table: bin ranges for each dimension, average kinematics, theory asymmetry +/- projected uncertainty for Collins/Sivers
1D Binning in xbj
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2]         0.1699     2.424    0.4273    0.5702     0.864  -0.01027 +/-   0.004048    -0.202 +/-   0.004048
[       0.2,       0.3]         0.2483     3.389    0.4518    0.5143    0.8265  -0.01893 +/-   0.003122     -0.23 +/-   0.003122
[       0.3,       0.4]         0.3461     4.439    0.4792    0.4292    0.7768  -0.02756 +/-   0.004047   -0.1794 +/-   0.004046
[       0.4,       0.5]         0.4438     5.377    0.4922    0.3485    0.7336  -0.03229 +/-    0.00618   -0.1026 +/-    0.00618
[       0.5,       0.6]         0.5408     6.225    0.4874    0.2805    0.6971  -0.03995 +/-    0.01186  -0.05078 +/-    0.01187
[       0.6,       0.7]         0.6341     7.021    0.4607     0.224    0.6704  -0.04464 +/-    0.03045  -0.01586 +/-    0.03049
1D Binning in z
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[      0.25,      0.35]           0.26     3.495    0.3159    0.3878    0.8142  -0.01161 +/-   0.003918   -0.1073 +/-   0.003918
[      0.35,      0.45]         0.3096     3.983    0.3982    0.4247    0.7791  -0.02217 +/-    0.00331   -0.1568 +/-   0.003309
[      0.45,      0.55]         0.3265     4.146    0.4966    0.4845    0.7689  -0.02645 +/-   0.004075      -0.2 +/-   0.004075
[      0.55,      0.65]         0.3312     4.196    0.5956    0.5399    0.7673  -0.02873 +/-   0.005345   -0.2523 +/-   0.005344
[      0.65,      0.75]         0.3193     4.083     0.692    0.5876    0.7742  -0.02732 +/-   0.007828   -0.3111 +/-   0.007829
1D Binning in pt
[       min,       max]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[         0,       0.2]         0.4718      5.49    0.4553    0.1411    0.7047  -0.01442 +/-   0.009658  -0.03144 +/-   0.009661
[       0.2,       0.4]         0.3468     4.367    0.4223    0.3162    0.7625  -0.02234 +/-   0.003578   -0.1092 +/-   0.003578
[       0.4,       0.6]         0.2806     3.704    0.4493    0.4918    0.7994   -0.0229 +/-   0.002941   -0.2026 +/-   0.002941
[       0.6,       0.8]         0.2518     3.406    0.5284    0.6805     0.819  -0.02405 +/-   0.004372   -0.3041 +/-   0.004371
[       0.8,         1]         0.2292     3.162     0.603    0.8739    0.8356  -0.02333 +/-   0.008549   -0.3731 +/-   0.008551
2D binning in xbj, z
[      minx,      maxx][      miny,      maxy]            <x>     <Q^2>       <z>      <pT>       <y>   AUTcoll +/-   dAUTcoll    AUTsiv +/-    dAUTsiv
[       0.1,       0.2][      0.25,      0.35]         0.1688     2.413    0.3094    0.4446    0.8657 -0.007755 +/-   0.006812    -0.128 +/-   0.006815
[       0.2,       0.3][      0.25,      0.35]         0.2449     3.368    0.3147    0.3972    0.8329  -0.01405 +/-   0.005991   -0.1333 +/-   0.005988
[       0.3,       0.4][      0.25,      0.35]         0.3422     4.452    0.3225     0.332    0.7879  -0.02076 +/-   0.009695  -0.09829 +/-   0.009698
[       0.4,       0.5][      0.25,      0.35]         0.4398     5.457    0.3289      0.28    0.7514  -0.02543 +/-    0.01871  -0.05741 +/-     0.0187
[       0.5,       0.6][      0.25,      0.35]          0.537     6.427    0.3338    0.2429    0.7247  -0.03352 +/-    0.04543  -0.03147 +/-     0.0454
[       0.6,       0.7][      0.25,      0.35]         0.6337     7.376    0.3376    0.2163    0.7048  -0.04211 +/-     0.1423  -0.01217 +/-     0.1431
[       0.1,       0.2][      0.35,      0.45]         0.1699     2.424    0.3962    0.5455    0.8639 -0.009889 +/-   0.007059   -0.1862 +/-   0.007057
[       0.2,       0.3][      0.35,      0.45]         0.2482     3.388    0.3973    0.4744    0.8265  -0.01757 +/-   0.005399   -0.1896 +/-   0.005399
[       0.3,       0.4][      0.35,      0.45]          0.346     4.441    0.3987    0.3827    0.7773  -0.02503 +/-   0.006991   -0.1335 +/-   0.006989
[       0.4,       0.5][      0.35,      0.45]          0.444     5.384    0.4002    0.3098    0.7343  -0.02953 +/-    0.01062  -0.07396 +/-    0.01063
[       0.5,       0.6][      0.35,      0.45]         0.5419     6.243    0.4022    0.2581    0.6977  -0.03795 +/-     0.0198  -0.03879 +/-    0.01978
[       0.6,       0.7][      0.35,      0.45]         0.6373     7.049    0.4044    0.2199    0.6697  -0.04533 +/-    0.04573  -0.01421 +/-    0.04578
[       0.1,       0.2][      0.45,      0.55]         0.1705      2.43    0.4951    0.6488    0.8631  -0.01206 +/-   0.009554   -0.2525 +/-   0.009556
[       0.2,       0.3][      0.45,      0.55]         0.2496     3.397    0.4961     0.561    0.8242  -0.02124 +/-   0.006851   -0.2642 +/-   0.006851
[       0.3,       0.4][      0.45,      0.55]          0.347     4.439    0.4972    0.4506    0.7746  -0.02986 +/-   0.008224   -0.1898 +/-   0.008222
[       0.4,       0.5][      0.45,      0.55]          0.445     5.371    0.4979    0.3616     0.731  -0.03462 +/-    0.01182   -0.1057 +/-    0.01182
[       0.5,       0.6][      0.45,      0.55]         0.5426     6.209    0.4979     0.293    0.6929  -0.04281 +/-    0.02107  -0.05396 +/-    0.02109
[       0.6,       0.7][      0.45,      0.55]         0.6339     6.973    0.4947    0.2294    0.6661  -0.04491 +/-    0.04966  -0.01728 +/-    0.04978
[       0.1,       0.2][      0.55,      0.65]          0.171     2.435    0.5947    0.7433    0.8623  -0.01379 +/-    0.01352   -0.3109 +/-    0.01352
