Nu	Nd	a	b	c	kt2	Nu_err	Nd_err	a_err	b_err	c_err	kt2_err	chi2	ndof	edm
0.40156451301504914	-0.4556752019213662	0.999547775886702	2.9206515928368932	0.013515097166139472	0.25211087191769227	0.0231415973975748	0.025802450969340366	0.02615339644653436	0.12161808804527448	0.0882244810262561	0.0046356647711279205	1585.8538856164664	1800	1.9549753696761298e-05
0.40772324002969124	-0.44775515919555176	1.0136045072136948	2.992487996646807	0.005584979085693724	0.25475214084264247	0.023778623589586333	0.025686364346605258	0.026528455913556997	0.12377872503474863	0.08905039300985323	0.004746085935987843	1662.3583450632095	1800	4.624732150263308e-05
0.2355704276230206	-0.27056110947479434	0.9164094316802672	2.9643885030901505	1.0675562925062547	0.2510643195067501	0.11382801222699493	0.13065518705313636	0.06654521745712953	0.1313609355471453	1.2759541300302968	0.0047053628273061665	1639.870717562816	1800	0.00019227434100830326
0.39700018786339114	-0.4463659975436462	1.007401521263638	3.069385823676576	-0.009459790156010995	0.2402352192725281	0.023233494356979984	0.025670551290206647	0.026716738341810056	0.12563519927773137	0.08888372353775674	0.004628574049418817	1707.991366196874	1800	5.10332381684383e-05
0.229836137169389	-0.25135904242521107	0.9596113053613216	3.2004366284480517	1.1989508268086568	0.24473217637691447	0.013406068569597257	0.01441513726795689	0.026374673319475368	0.126547968728566	0.1586819461393493	0.004705594903317248	1558.0813548453234	1800	2.816852224168228e-05
0.28999407806540495	-0.324658807220239	0.9450308514812386	3.035471752597701	0.5778600382584241	0.24836997994529308	0.13603200863336065	0.15216318988561633	0.07222775948559379	0.13170112369031753	1.0085159713793093	0.004715068124747152	1626.1536853040127	1800	0.00010170489603755255
0.40261370814904546	-0.44947546771986857	0.9871517925361732	2.916929655363458	-0.0005021773262267711	0.25076829839048015	0.02342541121045565	0.025710043342626727	0.026194775445038346	0.12234632775456497	0.08847334357832703	0.004680586324634668	1532.8790094226451	1800	5.909805753221595e-05
0.2268491827447768	-0.256354545121522	0.950196102794512	3.130547098065244	1.2246924926650438	0.25390146118674417	0.013075208640516077	0.01451235655727057	0.0261521935785648	0.1250111100342836	0.1579419814431846	0.004714242588744928	1625.4780210748463	1800	9.788080779555581e-06
0.24456786422591614	-0.2697353427011382	0.9786388451513918	3.318142280760679	1.0282270507443967	0.24757021872050144	0.08688201222889996	0.09610700139533498	0.051648218514216256	0.1275861364142415	0.9223020482058288	0.0046062809201241305	1692.71413974309	1800	0.0005118776990543368
0.2533583900565988	-0.28221411903766835	0.9584852700279977	3.159171055338541	0.9304012966855426	0.25242434759971205	0.12529590664957566	0.139610207277139	0.06940360702783203	0.12328908751568621	1.2299786849359204	0.004800079930521654	1734.504939496163	1800	0.0001347109811284493
1.3880341953964594	-1.5688742982309414	1.17026986536526	2.1022789777519346	-1.0657833243124992	0.25187436411271735	0.1962919391783986	0.225819264389128	0.02667491426039319	0.22541292111053043	0.055457183656528894	0.004686681425316442	1526.3919513915953	1800	0.006469280678812808
0.39967533470400535	-0.45019493219650153	0.9992696738917403	2.9908519542791696	-0.0003214441844428809	0.24689554420210663	0.023206647194927828	0.025686977341852598	0.026447996182529212	0.12411875204384079	0.08844954669992657	0.004708025842625428	1682.4389167633267	1800	0.00012299532343906078
0.3926753744953322	-0.4490339544691055	1.0114467465257149	3.1384743051263264	-0.007826895448050432	0.2429842779093012	0.022921487242925528	0.025738663679817	0.02673451187283456	0.12606690516944324	0.08895061204574235	0.004637821781334272	1655.753105079994	1800	4.2758310346242906e-05
0.3985638910858402	-0.45429947494312295	1.0089925946736482	3.049689257499366	0.008737238121120693	0.2544693336508811	0.023035713443021372	0.025787101240265148	0.026254433658339932	0.12286049310277009	0.08864914852340179	0.0046414452913026896	1589.6855253361825	1800	1.870367199067889e-05
0.8548519113006706	-0.9814342187702757	1.1454664207466752	2.804667874377788	-0.8196195482487912	0.2503313222022327	0.1332964519068877	0.15453651157359383	0.04072146314891315	0.16335453396501876	0.10725258036890091	0.0044220905315171715	1723.6005152759517	1800	0.002203002967404827
0.39753515779463644	-0.45482742457479575	0.9949734931914835	2.9631992530668176	0.006598570307085888	0.25704829210839686	0.023041913501281115	0.02589060033367387	0.026275103948282166	0.12295251519020449	0.08857702601142783	0.004721203816289628	1658.757277512545	1800	2.5971568159765203e-05
0.398126433072524	-0.4534698308751367	1.0069728761097962	3.0172078289050077	0.0066501750778087294	0.2517568263314224	0.023062064741545433	0.025800448084688028	0.026378619863278833	0.12328590214997208	0.08861524858434619	0.0046853416077070635	1643.0406423527372	1800	0.00014491486116393975
0.8221361882407545	-0.9193738515480383	1.13220691849533	2.7832278155202435	-0.7797398926537717	0.2530587336826462	0.1873709287962341	0.2099160239177251	0.048212312637832946	0.19368199981765122	0.1700922029068753	0.004658019354415277	1719.2537081469168	1800	0.0020943079257038514
0.9485380303054748	-1.0702491662834313	1.1304239046702713	2.537790894016604	-0.8809212667915546	0.24959757268647698	0.35483088908046134	0.40088238372323853	0.05883693627773268	0.35442520668497096	0.23201923849134087	0.004643887697331867	1716.1930856481258	1800	0.00406046233368587
0.39223602732920804	-0.45604375185558177	0.9696377756911093	2.8806974421108515	9.472674170420213e-05	0.2545869348761405	0.02274271694466531	0.025957429134803582	0.0261391306697884	0.12225589533972558	0.08817623666233115	0.004711280968227151	1658.4611714002795	1800	2.1864782252867536e-05
0.40033094395056545	-0.4470029415099479	1.0194713799052453	3.162992006309362	-0.003631424528237637	0.2485663506141876	0.023330226617459492	0.02560258855430047	0.02673793881831927	0.1265223693714119	0.08910245972133055	0.00465826669971576	1661.1108645856134	1800	0.00015585460957196861
0.3987070858136162	-0.4528728793811715	1.0049689787212204	3.034708381671473	0.005018699703004101	0.2533294396607845	0.023102289134304357	0.025775732840048752	0.02637161453850907	0.12366438995135508	0.08866068249875632	0.004691343506474558	1608.6366143985683	1800	6.926816092903137e-05
