i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
0,11.0,0.090102,0.628929,0.322515,1.167160,0.158526,AUT,2421284.409753,0.016795,0.011564,0.011553,0.070207,0.001121,neutron,pi+,solid
1,11.0,0.107355,0.599687,0.323197,1.328471,0.144373,AUT,2268973.316945,0.013007,0.009792,0.009776,0.070207,0.001148,neutron,pi+,solid
2,11.0,0.118944,0.582651,0.323539,1.430272,0.136535,AUT,2197245.580426,0.011040,0.008836,0.008857,0.070207,0.001167,neutron,pi+,solid
3,11.0,0.128694,0.566069,0.323636,1.503485,0.130117,AUT,2243477.440567,0.009556,0.008076,0.008107,0.070207,0.001183,neutron,pi+,solid
4,11.0,0.137403,0.549006,0.323834,1.556884,0.122713,AUT,2115656.382686,0.008956,0.007874,0.007929,0.070207,0.001199,neutron,pi+,solid
5,11.0,0.145818,0.531980,0.323970,1.600967,0.115651,AUT,2117094.087688,0.008439,0.007682,0.007708,0.070207,0.001214,neutron,pi+,solid
6,11.0,0.154443,0.513541,0.324216,1.636888,0.107731,AUT,2068765.508273,0.008028,0.007548,0.007583,0.070207,0.001229,neutron,pi+,solid
7,11.0,0.163426,0.495724,0.324230,1.672019,0.100191,AUT,1970772.910630,0.007980,0.007660,0.007684,0.070207,0.001246,neutron,pi+,solid
8,11.0,0.173117,0.476373,0.324408,1.701931,0.091795,AUT,1925139.571832,0.007887,0.007727,0.007742,0.070207,0.001264,neutron,pi+,solid
9,11.0,0.183943,0.454872,0.324599,1.726648,0.082149,AUT,1834078.069074,0.008047,0.007972,0.007969,0.070207,0.001284,neutron,pi+,solid
10,11.0,0.197166,0.429878,0.324701,1.748847,0.072527,AUT,1856179.618100,0.008023,0.008008,0.008001,0.070207,0.001309,neutron,pi+,solid
11,11.0,0.214843,0.400008,0.324672,1.772791,0.067893,AUT,1755911.772764,0.008432,0.008443,0.008450,0.070207,0.001341,neutron,pi+,solid
12,11.0,0.240444,0.363168,0.324733,1.800072,0.075046,AUT,1715921.859648,0.009063,0.008986,0.008995,0.070207,0.001387,neutron,pi+,solid
13,11.0,0.275668,0.326225,0.324618,1.854517,0.098383,AUT,950968.948455,0.018680,0.015434,0.015850,0.070207,0.001449,neutron,pi+,solid
14,11.0,0.065226,0.795780,0.322376,1.069539,0.327647,AUT,1407206.040628,0.019878,0.014124,0.013996,0.070207,0.001084,neutron,pi+,solid
15,11.0,0.072440,0.744462,0.322673,1.112955,0.314151,AUT,1273189.348561,0.015830,0.012429,0.012355,0.070207,0.001095,neutron,pi+,solid
16,11.0,0.076799,0.719817,0.322767,1.140974,0.310848,AUT,1261900.397433,0.014844,0.011881,0.011919,0.070207,0.001101,neutron,pi+,solid
17,11.0,0.080587,0.701567,0.323007,1.166921,0.308503,AUT,1366220.987482,0.013690,0.011092,0.011092,0.070207,0.001107,neutron,pi+,solid
18,11.0,0.083961,0.687798,0.323186,1.191977,0.306112,AUT,1233029.821803,0.013976,0.011453,0.011444,0.070207,0.001112,neutron,pi+,solid
19,11.0,0.087108,0.681175,0.323348,1.224779,0.304457,AUT,1284347.257600,0.013617,0.011114,0.011172,0.070207,0.001117,neutron,pi+,solid
20,11.0,0.090197,0.675698,0.323358,1.258013,0.302377,AUT,1212270.474582,0.013978,0.011423,0.011464,0.070207,0.001121,neutron,pi+,solid
21,11.0,0.093148,0.670758,0.323354,1.289674,0.301539,AUT,1171091.802460,0.014272,0.011662,0.011646,0.070207,0.001126,neutron,pi+,solid
22,11.0,0.096047,0.665483,0.323445,1.319359,0.299956,AUT,1152447.671835,0.014348,0.011721,0.011691,0.070207,0.001130,neutron,pi+,solid
23,11.0,0.098995,0.661029,0.323539,1.350759,0.298366,AUT,1175789.517602,0.014107,0.011508,0.011536,0.070207,0.001135,neutron,pi+,solid
24,11.0,0.101990,0.656524,0.323570,1.382144,0.296749,AUT,1140802.051306,0.014261,0.011654,0.011700,0.070207,0.001139,neutron,pi+,solid
25,11.0,0.104946,0.652583,0.323628,1.413657,0.295831,AUT,1071929.447197,0.014726,0.012029,0.012050,0.070207,0.001144,neutron,pi+,solid
26,11.0,0.107939,0.648644,0.323715,1.445213,0.294685,AUT,1102199.351169,0.014392,0.011774,0.011798,0.070207,0.001149,neutron,pi+,solid
27,11.0,0.110988,0.644608,0.323739,1.476776,0.293851,AUT,1029348.740363,0.014862,0.012133,0.012249,0.070207,0.001154,neutron,pi+,solid
28,11.0,0.114090,0.640454,0.323732,1.508283,0.293080,AUT,1062589.046747,0.014556,0.011987,0.012011,0.070207,0.001159,neutron,pi+,solid
29,11.0,0.117338,0.636806,0.323892,1.542369,0.292554,AUT,1045789.139949,0.014601,0.012067,0.012071,0.070207,0.001164,neutron,pi+,solid
30,11.0,0.120685,0.632947,0.323796,1.576778,0.292555,AUT,1013847.677757,0.014653,0.012160,0.012189,0.070207,0.001170,neutron,pi+,solid
31,11.0,0.124129,0.629408,0.323840,1.612698,0.291561,AUT,988737.757940,0.014802,0.012316,0.012329,0.070207,0.001176,neutron,pi+,solid
32,11.0,0.127626,0.624408,0.323794,1.644933,0.291264,AUT,920193.116751,0.015205,0.012681,0.012747,0.070207,0.001182,neutron,pi+,solid
33,11.0,0.131159,0.614682,0.323851,1.664121,0.290910,AUT,855838.890872,0.015278,0.012995,0.012970,0.070207,0.001188,neutron,pi+,solid
34,11.0,0.135041,0.604136,0.323827,1.683946,0.290691,AUT,870459.955687,0.014752,0.012695,0.012708,0.070207,0.001195,neutron,pi+,solid
35,11.0,0.139437,0.590491,0.323813,1.699455,0.290587,AUT,802542.215477,0.014726,0.012970,0.013010,0.070207,0.001203,neutron,pi+,solid
36,11.0,0.144299,0.574450,0.323683,1.710917,0.290994,AUT,747207.511078,0.014559,0.013213,0.013287,0.070207,0.001212,neutron,pi+,solid
37,11.0,0.149860,0.556582,0.323360,1.721518,0.292851,AUT,671453.219174,0.014654,0.013794,0.013862,0.070207,0.001222,neutron,pi+,solid
38,11.0,0.156312,0.532605,0.322883,1.718181,0.300735,AUT,580381.167348,0.014784,0.014882,0.014978,0.070207,0.001233,neutron,pi+,solid
39,11.0,0.164104,0.503998,0.321988,1.706752,0.316440,AUT,511075.918521,0.014925,0.016757,0.016872,0.070207,0.001247,neutron,pi+,solid
40,11.0,0.174176,0.466388,0.320619,1.676037,0.344405,AUT,452693.549758,0.015735,0.022593,0.022698,0.070207,0.001265,neutron,pi+,solid
41,11.0,0.187574,0.431389,0.319324,1.669512,0.364732,AUT,455965.935499,0.016501,0.031926,0.031924,0.070207,0.001289,neutron,pi+,solid
