Q2	x	y	z	pT	obs	target	hadron	value	error
4.7405	0.28341	0.8103235663	0.23957	0.18912	AUTcollins	neutron	pi+	-0.055003669209547267	0.12921
5.8841	0.36208	0.7872723468	0.25548	0.17601	AUTcollins	neutron	pi+	-0.050982080636985914	0.026478
7.0784	0.45046	0.7612518431	0.26543	0.15934	AUTcollins	neutron	pi+	-0.040772696743713116	0.018319
8.2545	0.54515	0.7335407485	0.27236	0.14294	AUTcollins	neutron	pi+	-0.027661035617616993	0.022378
9.3835	0.64112	0.7090469968	0.27773	0.13127	AUTcollins	neutron	pi+	-0.015749939180984534	0.039905
3.1863	0.17494	0.8823624746	0.23623	0.35065	AUTcollins	neutron	pi+	-0.0508820951653219	0.0082757
4.4211	0.25127	0.8523916508	0.2463	0.33304	AUTcollins	neutron	pi+	-0.06719457189802189	0.0046887
5.8109	0.34645	0.8125541724	0.25685	0.31405	AUTcollins	neutron	pi+	-0.07527998519048783	0.0052512
7.1102	0.44332	0.7769874089	0.26488	0.30351	AUTcollins	neutron	pi+	-0.06843939766527488	0.0076208
8.3307	0.54066	0.7464603495	0.27124	0.29363	AUTcollins	neutron	pi+	-0.0511494844427795	0.014014
9.492	0.63787	0.7209000258	0.27633	0.28472	AUTcollins	neutron	pi+	-0.031153396301953525	0.033173
3.148	0.17242	0.8844974223	0.24846	0.49056	AUTcollins	neutron	pi+	-0.05830006451979669	0.0045166
4.3504	0.24527	0.8592790982	0.25444	0.48324	AUTcollins	neutron	pi+	-0.07800844384868039	0.0035109
5.7868	0.34121	0.8216109349	0.26287	0.47119	AUTcollins	neutron	pi+	-0.09163872538594438	0.0057815
7.1372	0.43893	0.7877385339	0.26945	0.4625	AUTcollins	neutron	pi+	-0.08571128335335937	0.012135
8.3952	0.53806	0.755874733	0.27407	0.46015	AUTcollins	neutron	pi+	-0.06663334323192882	0.033586
9.5524	0.63727	0.7261703533	0.27806	0.46152	AUTcollins	neutron	pi+	-0.04225313780735415	0.1209
3.1172	0.17039	0.8862781721	0.26983	0.65429	AUTcollins	neutron	pi+	-0.05806267281494619	0.0095258
4.2825	0.23921	0.8672963711	0.27406	0.64808	AUTcollins	neutron	pi+	-0.07518862651903266	0.0094672
5.7828	0.33604	0.833674821	0.27848	0.64079	AUTcollins	neutron	pi+	-0.09001160965904043	0.025309
7.2092	0.43629	0.8004999403	0.28152	0.63588	AUTcollins	neutron	pi+	-0.08642294042389104	0.094641
5.9165	0.37501	0.7643134616	0.33165	0.17775	AUTcollins	neutron	pi+	-0.046327062073935756	0.063838
7.0185	0.45694	0.7441056729	0.33979	0.15947	AUTcollins	neutron	pi+	-0.035772385522770615	0.02396
8.1429	0.54906	0.7184702409	0.3431	0.14081	AUTcollins	neutron	pi+	-0.02379155839995269	0.021877
9.1888	0.64447	0.6907256468	0.34435	0.12871	AUTcollins	neutron	pi+	-0.013621788865623501	0.032061
3.319	0.18461	0.8709666358	0.31539	0.3808	AUTcollins	neutron	pi+	-0.051260079274510706	0.064175
4.5454	0.2629	0.8375890868	0.33155	0.35558	AUTcollins	neutron	pi+	-0.06462680706920997	0.012821
5.8241	0.3521	0.8013316325	0.33979	0.32614	AUTcollins	neutron	pi+	-0.06760555775979249	0.0082478
7.069	0.44712	0.7659199357	0.34301	0.30939	AUTcollins	neutron	pi+	-0.06032353418206918	0.0087981
8.2308	0.54398	0.7330078149	0.34494	0.30109	AUTcollins	neutron	pi+	-0.04565163105550056	0.012951
9.3154	0.64089	0.7041537582	0.34646	0.29285	AUTcollins	neutron	pi+	-0.028111898449761186	0.025243
3.1825	0.17478	0.8821169475	0.3369	0.51506	AUTcollins	neutron	pi+	-0.05169990513552031	0.0089607
4.4049	0.25029	0.852593552	0.34138	0.50199	AUTcollins	neutron	pi+	-0.07034447403661494	0.0051685
5.7977	0.34592	0.8119505037	0.34471	0.49281	AUTcollins	neutron	pi+	-0.08319698033980606	0.0060912
7.0947	0.4427	0.7763793984	0.34811	0.48262	AUTcollins	neutron	pi+	-0.07768110698621525	0.0093193
8.3101	0.54028	0.7451382326	0.35104	0.4743	AUTcollins	neutron	pi+	-0.059682707386039646	0.018834
9.411	0.63885	0.7136517957	0.35229	0.47148	AUTcollins	neutron	pi+	-0.0379053016228405	0.052028
3.1504	0.17265	0.8839925496	0.34495	0.68542	AUTcollins	neutron	pi+	-0.053085151594851214	0.0081619
4.352	0.24559	0.8584750866	0.34856	0.6779	AUTcollins	neutron	pi+	-0.0716625483629497	0.006205
5.7802	0.34059	0.8221677962	0.35492	0.66662	AUTcollins	neutron	pi+	-0.08468203962182627	0.010282
7.1383	0.43883	0.7880394783	0.35911	0.65987	AUTcollins	neutron	pi+	-0.08037050243649511	0.023427
8.3879	0.5386	0.7544602858	0.36038	0.65726	AUTcollins	neutron	pi+	-0.06332811121782046	0.072379
9.5109	0.63523	0.7253374543	0.36058	0.65189	AUTcollins	neutron	pi+	-0.04092909241804905	0.27835
3.1204	0.17063	0.8859401156	0.36046	0.86002	AUTcollins	neutron	pi+	-0.04784980390460745	0.017125
4.2843	0.2395	0.8666102966	0.36546	0.85389	AUTcollins	neutron	pi+	-0.06220380183061111	0.016663
5.7763	0.33594	0.8329856343	0.371	0.84714	AUTcollins	neutron	pi+	-0.07456890110732452	0.043255
6.997	0.46266	0.7326548165	0.44062	0.16093	AUTcollins	neutron	pi+	-0.02961041813588725	0.046747
8.104	0.55105	0.7124557802	0.44354	0.14093	AUTcollins	neutron	pi+	-0.019300552858268906	0.034337
9.1664	0.64529	0.6881662327	0.44469	0.1292	AUTcollins	neutron	pi+	-0.010986305486827946	0.04776
4.6996	0.27898	0.816088605	0.42821	0.36984	AUTcollins	neutron	pi+	-0.06210461382179781	0.058583
5.85	0.35858	0.7903496983	0.43871	0.33946	AUTcollins	neutron	pi+	-0.059613766189413823	0.017853
7.0552	0.44936	0.760614162	0.44289	0.31538	AUTcollins	neutron	pi+	-0.050695433347897945	0.01441
8.2057	0.54538	0.7288965862	0.4444	0.30566	AUTcollins	neutron	pi+	-0.037971886626174664	0.01895
9.2657	0.64203	0.6991532836	0.44536	0.29979	AUTcollins	neutron	pi+	-0.023559730828362914	0.034219
3.2526	0.17961	0.8773030384	0.42807	0.55541	AUTcollins	neutron	pi+	-0.048392334495664234	0.032047
4.4773	0.25668	0.8450329687	0.43833	0.52028	AUTcollins	neutron	pi+	-0.06391598848976847	0.010996
5.8077	0.34847	0.8073991128	0.44328	0.50071	AUTcollins	neutron	pi+	-0.07201286024417626	0.0095889
7.0773	0.44533	0.7699014566	0.44507	0.49415	AUTcollins	neutron	pi+	-0.06758266387603847	0.01232
8.2629	0.54228	0.7381734114	0.447	0.48671	AUTcollins	neutron	pi+	-0.05186645479600795	0.020754
9.3731	0.63892	0.7106999029	0.4483	0.47999	AUTcollins	neutron	pi+	-0.03253075442448551	0.047562
3.1694	0.1739	0.8829313963	0.44191	0.6965	AUTcollins	neutron	pi+	-0.047597982007170116	0.014031
4.3913	0.24917	0.8537817046	0.44416	0.69105	AUTcollins	neutron	pi+	-0.06560681111192819	0.0087747
5.7932	0.34505	0.8133659338	0.44655	0.68458	AUTcollins	neutron	pi+	-0.07835313125897948	0.011065
7.1038	0.44146	0.7795587589	0.45004	0.67553	AUTcollins	neutron	pi+	-0.07348846384958667	0.018366
8.3288	0.5394	0.7480333833	0.45236	0.67072	AUTcollins	neutron	pi+	-0.05720640268869529	0.04201
9.3975	0.6297	0.7229830736	0.45067	0.66049	AUTcollins	neutron	pi+	-0.03782672468229754	0.13934
3.151	0.17269	0.8839561105	0.44602	0.88179	AUTcollins	neutron	pi+	-0.0455063374965218	0.017245
4.3528	0.24569	0.8582834164	0.44888	0.87582	AUTcollins	neutron	pi+	-0.06167064785187	0.013047
5.7767	0.34012	0.8228053981	0.45446	0.86595	AUTcollins	neutron	pi+	-0.07310136599726427	0.021961
7.143	0.4387	0.7887920128	0.45786	0.8607	AUTcollins	neutron	pi+	-0.06972866800602552	0.052746
8.3835	0.53613	0.7575385665	0.45841	0.85511	AUTcollins	neutron	pi+	-0.05523178515639816	0.17783
3.1276	0.17109	0.8855968575	0.45588	1.0636	AUTcollins	neutron	pi+	-0.03918239297824166	0.036492
4.2933	0.24028	0.8656116679	0.46073	1.0579	AUTcollins	neutron	pi+	-0.05132377736822606	0.03429
5.7773	0.33647	0.8318175143	0.46562	1.0515	AUTcollins	neutron	pi+	-0.06167843188932785	0.086818
6.9886	0.46762	0.7240133846	0.54166	0.1612	AUTcollins	neutron	pi+	-0.02532025609221413	0.084754
8.071	0.55283	0.7072699939	0.54415	0.14044	AUTcollins	neutron	pi+	-0.0163514031646618	0.052794
9.1461	0.64563	0.6862806152	0.54471	0.12986	AUTcollins	neutron	pi+	-0.009347381615683636	0.069727
5.8823	0.36657	0.7773914129	0.53842	0.34748	AUTcollins	neutron	pi+	-0.05449760932856293	0.040097
7.0398	0.45215	0.754270764	0.54296	0.32073	AUTcollins	neutron	pi+	-0.044743832026959224	0.023632
8.1857	0.5462	0.7260284127	0.54459	0.30778	AUTcollins	neutron	pi+	-0.03285687964601789	0.027884
9.2409	0.64214	0.6971625272	0.54443	0.30148	AUTcollins	neutron	pi+	-0.020374142045778414	0.048831
4.5956	0.26763	0.8318727829	0.5357	0.53892	AUTcollins	neutron	pi+	-0.06275696209577426	0.028459
5.8212	0.3518	0.8016156257	0.54255	0.50842	AUTcollins	neutron	pi+	-0.06559683149473286	0.016075
7.0685	0.44665	0.7666716649	0.54481	0.49828	AUTcollins	neutron	pi+	-0.060271176436520996	0.017791
8.2299	0.54381	0.7331567838	0.5458	0.49364	AUTcollins	neutron	pi+	-0.046511946584588244	0.027295
9.3094	0.63441	0.7108879616	0.54373	0.48267	AUTcollins	neutron	pi+	-0.029647005143644656	0.059587
3.2228	0.17752	0.8794994139	0.53587	0.72378	AUTcollins	neutron	pi+	-0.04618204293545682	0.032715
4.4286	0.25241	0.8499813321	0.54258	0.69943	AUTcollins	neutron	pi+	-0.06217708329977692	0.014606
