Q2	x	y	z	pT	obs	target	hadron	value	error
4.7405	0.28341	0.8103235663	0.23957	0.18912	AUTsivers	neutron	pi+	0	0.12921
5.8841	0.36208	0.7872723468	0.25548	0.17601	AUTsivers	neutron	pi+	0	0.026478
7.0784	0.45046	0.7612518431	0.26543	0.15934	AUTsivers	neutron	pi+	0	0.018319
8.2545	0.54515	0.7335407485	0.27236	0.14294	AUTsivers	neutron	pi+	0	0.022378
9.3835	0.64112	0.7090469968	0.27773	0.13127	AUTsivers	neutron	pi+	0	0.039905
3.1863	0.17494	0.8823624746	0.23623	0.35065	AUTsivers	neutron	pi+	0	0.0082757
4.4211	0.25127	0.8523916508	0.2463	0.33304	AUTsivers	neutron	pi+	0	0.0046887
5.8109	0.34645	0.8125541724	0.25685	0.31405	AUTsivers	neutron	pi+	0	0.0052512
7.1102	0.44332	0.7769874089	0.26488	0.30351	AUTsivers	neutron	pi+	0	0.0076208
8.3307	0.54066	0.7464603495	0.27124	0.29363	AUTsivers	neutron	pi+	0	0.014014
9.492	0.63787	0.7209000258	0.27633	0.28472	AUTsivers	neutron	pi+	0	0.033173
3.148	0.17242	0.8844974223	0.24846	0.49056	AUTsivers	neutron	pi+	0	0.0045166
4.3504	0.24527	0.8592790982	0.25444	0.48324	AUTsivers	neutron	pi+	0	0.0035109
5.7868	0.34121	0.8216109349	0.26287	0.47119	AUTsivers	neutron	pi+	0	0.0057815
7.1372	0.43893	0.7877385339	0.26945	0.4625	AUTsivers	neutron	pi+	0	0.012135
8.3952	0.53806	0.755874733	0.27407	0.46015	AUTsivers	neutron	pi+	0	0.033586
9.5524	0.63727	0.7261703533	0.27806	0.46152	AUTsivers	neutron	pi+	0	0.1209
3.1172	0.17039	0.8862781721	0.26983	0.65429	AUTsivers	neutron	pi+	0	0.0095258
4.2825	0.23921	0.8672963711	0.27406	0.64808	AUTsivers	neutron	pi+	0	0.0094672
5.7828	0.33604	0.833674821	0.27848	0.64079	AUTsivers	neutron	pi+	0	0.025309
7.2092	0.43629	0.8004999403	0.28152	0.63588	AUTsivers	neutron	pi+	0	0.094641
5.9165	0.37501	0.7643134616	0.33165	0.17775	AUTsivers	neutron	pi+	0	0.063838
7.0185	0.45694	0.7441056729	0.33979	0.15947	AUTsivers	neutron	pi+	0	0.02396
8.1429	0.54906	0.7184702409	0.3431	0.14081	AUTsivers	neutron	pi+	0	0.021877
9.1888	0.64447	0.6907256468	0.34435	0.12871	AUTsivers	neutron	pi+	0	0.032061
3.319	0.18461	0.8709666358	0.31539	0.3808	AUTsivers	neutron	pi+	0	0.064175
4.5454	0.2629	0.8375890868	0.33155	0.35558	AUTsivers	neutron	pi+	0	0.012821
5.8241	0.3521	0.8013316325	0.33979	0.32614	AUTsivers	neutron	pi+	0	0.0082478
7.069	0.44712	0.7659199357	0.34301	0.30939	AUTsivers	neutron	pi+	0	0.0087981
8.2308	0.54398	0.7330078149	0.34494	0.30109	AUTsivers	neutron	pi+	0	0.012951
9.3154	0.64089	0.7041537582	0.34646	0.29285	AUTsivers	neutron	pi+	0	0.025243
3.1825	0.17478	0.8821169475	0.3369	0.51506	AUTsivers	neutron	pi+	0	0.0089607
4.4049	0.25029	0.852593552	0.34138	0.50199	AUTsivers	neutron	pi+	0	0.0051685
5.7977	0.34592	0.8119505037	0.34471	0.49281	AUTsivers	neutron	pi+	0	0.0060912
7.0947	0.4427	0.7763793984	0.34811	0.48262	AUTsivers	neutron	pi+	0	0.0093193
8.3101	0.54028	0.7451382326	0.35104	0.4743	AUTsivers	neutron	pi+	0	0.018834
9.411	0.63885	0.7136517957	0.35229	0.47148	AUTsivers	neutron	pi+	0	0.052028
3.1504	0.17265	0.8839925496	0.34495	0.68542	AUTsivers	neutron	pi+	0	0.0081619
4.352	0.24559	0.8584750866	0.34856	0.6779	AUTsivers	neutron	pi+	0	0.006205
5.7802	0.34059	0.8221677962	0.35492	0.66662	AUTsivers	neutron	pi+	0	0.010282
7.1383	0.43883	0.7880394783	0.35911	0.65987	AUTsivers	neutron	pi+	0	0.023427
8.3879	0.5386	0.7544602858	0.36038	0.65726	AUTsivers	neutron	pi+	0	0.072379
9.5109	0.63523	0.7253374543	0.36058	0.65189	AUTsivers	neutron	pi+	0	0.27835
3.1204	0.17063	0.8859401156	0.36046	0.86002	AUTsivers	neutron	pi+	0	0.017125
4.2843	0.2395	0.8666102966	0.36546	0.85389	AUTsivers	neutron	pi+	0	0.016663
5.7763	0.33594	0.8329856343	0.371	0.84714	AUTsivers	neutron	pi+	0	0.043255
6.997	0.46266	0.7326548165	0.44062	0.16093	AUTsivers	neutron	pi+	0	0.046747
8.104	0.55105	0.7124557802	0.44354	0.14093	AUTsivers	neutron	pi+	0	0.034337
9.1664	0.64529	0.6881662327	0.44469	0.1292	AUTsivers	neutron	pi+	0	0.04776
4.6996	0.27898	0.816088605	0.42821	0.36984	AUTsivers	neutron	pi+	0	0.058583
5.85	0.35858	0.7903496983	0.43871	0.33946	AUTsivers	neutron	pi+	0	0.017853
7.0552	0.44936	0.760614162	0.44289	0.31538	AUTsivers	neutron	pi+	0	0.01441
8.2057	0.54538	0.7288965862	0.4444	0.30566	AUTsivers	neutron	pi+	0	0.01895
9.2657	0.64203	0.6991532836	0.44536	0.29979	AUTsivers	neutron	pi+	0	0.034219
3.2526	0.17961	0.8773030384	0.42807	0.55541	AUTsivers	neutron	pi+	0	0.032047
4.4773	0.25668	0.8450329687	0.43833	0.52028	AUTsivers	neutron	pi+	0	0.010996
5.8077	0.34847	0.8073991128	0.44328	0.50071	AUTsivers	neutron	pi+	0	0.0095889
7.0773	0.44533	0.7699014566	0.44507	0.49415	AUTsivers	neutron	pi+	0	0.01232
8.2629	0.54228	0.7381734114	0.447	0.48671	AUTsivers	neutron	pi+	0	0.020754
9.3731	0.63892	0.7106999029	0.4483	0.47999	AUTsivers	neutron	pi+	0	0.047562
3.1694	0.1739	0.8829313963	0.44191	0.6965	AUTsivers	neutron	pi+	0	0.014031
4.3913	0.24917	0.8537817046	0.44416	0.69105	AUTsivers	neutron	pi+	0	0.0087747
5.7932	0.34505	0.8133659338	0.44655	0.68458	AUTsivers	neutron	pi+	0	0.011065
7.1038	0.44146	0.7795587589	0.45004	0.67553	AUTsivers	neutron	pi+	0	0.018366
8.3288	0.5394	0.7480333833	0.45236	0.67072	AUTsivers	neutron	pi+	0	0.04201
9.3975	0.6297	0.7229830736	0.45067	0.66049	AUTsivers	neutron	pi+	0	0.13934
3.151	0.17269	0.8839561105	0.44602	0.88179	AUTsivers	neutron	pi+	0	0.017245
4.3528	0.24569	0.8582834164	0.44888	0.87582	AUTsivers	neutron	pi+	0	0.013047
5.7767	0.34012	0.8228053981	0.45446	0.86595	AUTsivers	neutron	pi+	0	0.021961
7.143	0.4387	0.7887920128	0.45786	0.8607	AUTsivers	neutron	pi+	0	0.052746
8.3835	0.53613	0.7575385665	0.45841	0.85511	AUTsivers	neutron	pi+	0	0.17783
3.1276	0.17109	0.8855968575	0.45588	1.0636	AUTsivers	neutron	pi+	0	0.036492
4.2933	0.24028	0.8656116679	0.46073	1.0579	AUTsivers	neutron	pi+	0	0.03429
5.7773	0.33647	0.8318175143	0.46562	1.0515	AUTsivers	neutron	pi+	0	0.086818
6.9886	0.46762	0.7240133846	0.54166	0.1612	AUTsivers	neutron	pi+	0	0.084754
8.071	0.55283	0.7072699939	0.54415	0.14044	AUTsivers	neutron	pi+	0	0.052794
9.1461	0.64563	0.6862806152	0.54471	0.12986	AUTsivers	neutron	pi+	0	0.069727
5.8823	0.36657	0.7773914129	0.53842	0.34748	AUTsivers	neutron	pi+	0	0.040097
7.0398	0.45215	0.754270764	0.54296	0.32073	AUTsivers	neutron	pi+	0	0.023632
8.1857	0.5462	0.7260284127	0.54459	0.30778	AUTsivers	neutron	pi+	0	0.027884
9.2409	0.64214	0.6971625272	0.54443	0.30148	AUTsivers	neutron	pi+	0	0.048831
4.5956	0.26763	0.8318727829	0.5357	0.53892	AUTsivers	neutron	pi+	0	0.028459
5.8212	0.3518	0.8016156257	0.54255	0.50842	AUTsivers	neutron	pi+	0	0.016075
7.0685	0.44665	0.7666716649	0.54481	0.49828	AUTsivers	neutron	pi+	0	0.017791
8.2299	0.54381	0.7331567838	0.5458	0.49364	AUTsivers	neutron	pi+	0	0.027295
9.3094	0.63441	0.7108879616	0.54373	0.48267	AUTsivers	neutron	pi+	0	0.059587
3.2228	0.17752	0.8794994139	0.53587	0.72378	AUTsivers	neutron	pi+	0	0.032715
4.4286	0.25241	0.8499813321	0.54258	0.69943	AUTsivers	neutron	pi+	0	0.014606
5.8002	0.34712	0.8094924835	0.54523	0.69124	AUTsivers	neutron	pi+	0	0.015254
7.0819	0.4441	0.7725356067	0.54688	0.68588	AUTsivers	neutron	pi+	0	0.021554
8.2876	0.54022	0.74320327	0.54878	0.67789	AUTsivers	neutron	pi+	0	0.040738
9.3662	0.62	0.7318485662	0.53977	0.65314	AUTsivers	neutron	pi+	0	0.14583
3.1633	0.1735	0.8832637173	0.54494	0.88813	AUTsivers	neutron	pi+	0	0.025565
4.3842	0.24862	0.8542869738	0.54595	0.88519	AUTsivers	neutron	pi+	0	0.016786
5.7889	0.34429	0.8145563383	0.54823	0.87968	AUTsivers	neutron	pi+	0	0.022239
7.1104	0.44062	0.7817705667	0.5515	0.87166	AUTsivers	neutron	pi+	0	0.039533
8.2877	0.52904	0.7589182576	0.5487	0.85555	AUTsivers	neutron	pi+	0	0.11168
3.1511	0.17271	0.8838817974	0.54762	1.0789	AUTsivers	neutron	pi+	0	0.038057
4.3496	0.24558	0.8580366006	0.5498	1.0741	AUTsivers	neutron	pi+	0	0.028842
5.7791	0.34004	0.8233409015	0.5546	1.066	AUTsivers	neutron	pi+	0	0.049244
8.0429	0.55432	0.7029130549	0.6441	0.13992	AUTsivers	neutron	pi+	0	0.079582
9.0863	0.63566	0.6924870828	0.63639	0.12935	AUTsivers	neutron	pi+	0	0.11777
5.9114	0.3739	0.7659216941	0.63808	0.35293	AUTsivers	neutron	pi+	0	0.090548
7.0203	0.45495	0.7475521426	0.64261	0.32432	AUTsivers	neutron	pi+	0	0.038975
8.1687	0.54718	0.7232229851	0.64432	0.30936	AUTsivers	neutron	pi+	0	0.041442
9.1765	0.62869	0.7071149269	0.63394	0.29665	AUTsivers	neutron	pi+	0	0.087255
4.6979	0.27872	0.8165544001	0.634	0.55133	AUTsivers	neutron	pi+	0	0.085189
5.8404	0.35655	0.7935451472	0.64163	0.51705	AUTsivers	neutron	pi+	0	0.028431
7.0628	0.44789	0.7639325779	0.64437	0.50146	AUTsivers	neutron	pi+	0	0.026151
8.2043	0.54252	0.7326140918	0.64315	0.49437	AUTsivers	neutron	pi+	0	0.038822
9.2447	0.61949	0.7229495818	0.62585	0.47041	AUTsivers	neutron	pi+	0	0.13181
3.321	0.18475	0.8708310731	0.6273	0.75842	AUTsivers	neutron	pi+	0	0.12627
4.5109	0.25971	0.841441671	0.6401	0.71335	AUTsivers	neutron	pi+	0	0.028006
5.805	0.34856	0.8068153752	0.64466	0.69517	AUTsivers	neutron	pi+	0	0.022247
7.0719	0.44549	0.7690377165	0.64553	0.6904	AUTsivers	neutron	pi+	0	0.028587
8.2003	0.53219	0.7464702773	0.63784	0.67384	AUTsivers	neutron	pi+	0	0.057855
3.196	0.17564	0.8815213413	0.64113	0.90096	AUTsivers	neutron	pi+	0	0.045299
4.402	0.2502	0.8523387269	0.64513	0.89015	AUTsivers	neutron	pi+	0	0.024083
5.7971	0.34651	0.8104841165	0.64651	0.8856	AUTsivers	neutron	pi+	0	0.027942
7.0529	0.43835	0.7794642551	0.64375	0.87336	AUTsivers	neutron	pi+	0	0.0455
3.158	0.17319	0.8833621811	0.64632	1.0836	AUTsivers	neutron	pi+	0	0.04997
4.3795	0.24825	0.8546430439	0.64739	1.0819	AUTsivers	neutron	pi+	0	0.034159
5.7563	0.34079	0.8182877807	0.64694	1.0712	AUTsivers	neutron	pi+	0	0.048738
3.5744	0.27211	0.7954596426	0.30881	0.17974	AUTsivers	neutron	pi+	0	0.037219
4.4643	0.35232	0.767318335	0.32032	0.16155	AUTsivers	neutron	pi+	0	0.018107
5.4153	0.4444	0.7379177759	0.32844	0.14318	AUTsivers	neutron	pi+	0	0.02075
6.383	0.53963	0.7162889647	0.33381	0.13121	AUTsivers	neutron	pi+	0	0.038373
7.347	0.63538	0.7002224025	0.33775	0.12448	AUTsivers	neutron	pi+	0	0.1006
2.4371	0.17101	0.8630010902	0.29742	0.33841	AUTsivers	neutron	pi+	0	0.0074665
3.3903	0.24818	0.8272387145	0.30743	0.31871	AUTsivers	neutron	pi+	0	0.0051636
4.4435	0.34318	0.7840842248	0.3184	0.30437	AUTsivers	neutron	pi+	0	0.0070329
5.4403	0.43945	0.7496747473	0.32659	0.29213	AUTsivers	neutron	pi+	0	0.013114
6.4156	0.53622	0.7245256615	0.33243	0.28198	AUTsivers	neutron	pi+	0	0.033392
7.369	0.6328	0.7051825999	0.3369	0.27716	AUTsivers	neutron	pi+	0	0.11793
2.3971	0.16759	0.8661588609	0.30524	0.48377	AUTsivers	neutron	pi+	0	0.0051901
3.3338	0.2413	0.8366459672	0.31223	0.4721	AUTsivers	neutron	pi+	0	0.0051603
4.4348	0.33764	0.7953891253	0.32116	0.46016	AUTsivers	neutron	pi+	0	0.011266
5.4671	0.4369	0.7577648825	0.32773	0.45825	AUTsivers	neutron	pi+	0	0.035571
6.4407	0.53623	0.7273466869	0.33295	0.46025	AUTsivers	neutron	pi+	0	0.14735
2.3491	0.16346	0.870260981	0.32473	0.64195	AUTsivers	neutron	pi+	0	0.015393
3.2818	0.23406	0.8490717895	0.32797	0.63679	AUTsivers	neutron	pi+	0	0.023299
4.4647	0.33384	0.809866458	0.33206	0.63047	AUTsivers	neutron	pi+	0	0.10845
3.6102	0.28252	0.7738228789	0.38152	0.18069	AUTsivers	neutron	pi+	0	0.081437
4.4534	0.36021	0.7486786371	0.39057	0.15988	AUTsivers	neutron	pi+	0	0.019891
5.3244	0.45049	0.7157230789	0.39387	0.13861	AUTsivers	neutron	pi+	0	0.015524
6.1538	0.54547	0.6831750686	0.39621	0.12666	AUTsivers	neutron	pi+	0	0.020651
6.9662	0.63998	0.6591572581	0.39916	0.12304	AUTsivers	neutron	pi+	0	0.038568
2.4997	0.17686	0.8558896432	0.3816	0.36251	AUTsivers	neutron	pi+	0	0.019516
3.4398	0.25539	0.8156217635	0.39006	0.33075	AUTsivers	neutron	pi+	0	0.0078513
4.4351	0.3483	0.7710977638	0.3937	0.30928	AUTsivers	neutron	pi+	0	0.0072135
