Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1005
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1005	 0.1136
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1136	 0.1240
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1240	 0.1332
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1332	 0.1416
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1416	 0.1501
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1501	 0.1589
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1589	 0.1681
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1681	 0.1784
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1784	 0.1899
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1899	 0.2053
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2053	 0.2256
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2256	 0.2590
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2590	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0698
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0698	 0.0748
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0748	 0.0787
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0787	 0.0824
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0824	 0.0855
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0855	 0.0887
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0887	 0.0917
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0917	 0.0946
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0946	 0.0975
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0975	 0.1005
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1005	 0.1035
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1035	 0.1064
