i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
178,11.0,0.243957,0.362790,0.423543,1.823272,0.664956,AUT,3220960.060289,0.015038,0.011975,0.011916,0.070207,0.001416,neutron,pi+,solid
179,11.0,0.082616,0.739759,0.426417,1.246483,0.868652,AUT,19231146.559086,0.002128,0.002130,0.002123,0.070207,0.001118,neutron,pi+,solid
180,11.0,0.140802,0.585375,0.427128,1.664652,0.862021,AUT,11481156.411378,0.003985,0.003512,0.003505,0.070207,0.001219,neutron,pi+,solid
181,11.0,0.117438,0.556811,0.473106,1.344646,0.148530,AUT,19209021.116096,0.002323,0.002285,0.002287,0.070207,0.001180,neutron,pi+,solid
182,11.0,0.148787,0.511616,0.473463,1.569382,0.132813,AUT,19040503.920764,0.002379,0.002366,0.002365,0.070207,0.001239,neutron,pi+,solid
183,11.0,0.172917,0.467341,0.473730,1.666251,0.125681,AUT,18793320.449901,0.002529,0.002503,0.002495,0.070207,0.001287,neutron,pi+,solid
184,11.0,0.202011,0.418827,0.473854,1.742960,0.121158,AUT,19253352.303806,0.002627,0.002590,0.002590,0.070207,0.001345,neutron,pi+,solid
185,11.0,0.248109,0.355693,0.473676,1.813119,0.129443,AUT,12391825.042125,0.003406,0.003399,0.003412,0.070207,0.001433,neutron,pi+,solid
186,11.0,0.080458,0.677156,0.472631,1.121152,0.331729,AUT,19157254.563241,0.002359,0.002255,0.002255,0.070207,0.001117,neutron,pi+,solid
187,11.0,0.094278,0.636809,0.473117,1.238888,0.319467,AUT,18994457.386856,0.002229,0.002203,0.002205,0.070207,0.001140,neutron,pi+,solid
188,11.0,0.104730,0.618367,0.473289,1.336539,0.315064,AUT,19039264.525585,0.002220,0.002214,0.002213,0.070207,0.001157,neutron,pi+,solid
189,11.0,0.114320,0.602682,0.473463,1.421978,0.311490,AUT,19096533.072750,0.002239,0.002237,0.002240,0.070207,0.001175,neutron,pi+,solid
