Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1051
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1051	 0.1203
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1203	 0.1330
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1330	 0.1448
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1448	 0.1565
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1565	 0.1693
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1693	 0.1847
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1847	 0.2049
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2049	 0.2379
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2379	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0717
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0717	 0.0776
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0776	 0.0822
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0822	 0.0863
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0863	 0.0904
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0904	 0.0944
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0944	 0.0985
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0985	 0.1025
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1025	 0.1067
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1067	 0.1108
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1108	 0.1152
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1152	 0.1194
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1194	 0.1242
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1242	 0.1291
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1291	 0.1345
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1345	 0.1405
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1405	 0.1478
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1478	 0.1572
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1572	 0.1694
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1694	 0.1870
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1870	 0.2167
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2167	 0.2814
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2814	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0658
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0658	 0.0712
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0712	 0.0761
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0761	 0.0806
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0806	 0.0848
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0848	 0.0894
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0894	 0.0941
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0941	 0.0993
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0993	 0.1049
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1049	 0.1111
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1111	 0.1181
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1181	 0.1259
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1259	 0.1353
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1353	 0.1478
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1478	 0.1672
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1672	 0.2014
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2014	 0.7000
