i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
432,11.0,0.257372,0.467365,0.474026,2.481362,0.108374,AUT,1718375.729382,0.009292,0.009272,0.009271,0.070207,0.001458,neutron,pi+,solid
433,11.0,0.289048,0.422829,0.474042,2.519071,0.112814,AUT,1736053.485744,0.009799,0.009703,0.009717,0.070207,0.001517,neutron,pi+,solid
434,11.0,0.335500,0.381939,0.473756,2.641774,0.131580,AUT,861838.984179,0.018086,0.016257,0.016371,0.070207,0.001605,neutron,pi+,solid
435,11.0,0.153324,0.677227,0.473936,2.137826,0.300387,AUT,989662.131966,0.026442,0.018822,0.018691,0.070207,0.001254,neutron,pi+,solid
436,11.0,0.175482,0.621288,0.474096,2.249583,0.292698,AUT,823982.891613,0.024839,0.018649,0.018699,0.070207,0.001298,neutron,pi+,solid
437,11.0,0.190938,0.597772,0.474357,2.355591,0.281353,AUT,711704.939848,0.023636,0.018642,0.018767,0.070207,0.001330,neutron,pi+,solid
438,11.0,0.205631,0.585950,0.474765,2.486982,0.273130,AUT,585632.233902,0.023107,0.019192,0.019299,0.070207,0.001360,neutron,pi+,solid
439,11.0,0.221066,0.578425,0.474965,2.639178,0.266131,AUT,444530.569720,0.023805,0.020895,0.020885,0.070207,0.001391,neutron,pi+,solid
440,11.0,0.238237,0.555669,0.475687,2.731291,0.249388,AUT,275039.296443,0.026256,0.024699,0.024892,0.070207,0.001425,neutron,pi+,solid
441,11.0,0.261362,0.478541,0.477186,2.576453,0.225459,AUT,152157.445172,0.033519,0.032539,0.032398,0.070207,0.001467,neutron,pi+,solid
442,11.0,0.294053,0.393722,0.476592,2.387582,0.227755,AUT,220403.507859,0.045465,0.036499,0.036550,0.070207,0.001526,neutron,pi+,solid
443,11.0,0.341201,0.369863,0.475846,2.603134,0.243111,AUT,418856.306056,0.056107,0.038040,0.039067,0.070207,0.001617,neutron,pi+,solid
444,11.0,0.149411,0.693832,0.474128,2.135357,0.485116,AUT,561906.894618,0.027360,0.020607,0.020546,0.070207,0.001246,neutron,pi+,solid
445,11.0,0.174303,0.647446,0.474651,2.328148,0.476619,AUT,319465.112594,0.026701,0.022903,0.023001,0.070207,0.001297,neutron,pi+,solid
446,11.0,0.198750,0.591858,0.472986,2.424623,0.504730,AUT,192032.478187,0.027507,0.028558,0.028875,0.070207,0.001345,neutron,pi+,solid
447,11.0,0.228281,0.495668,0.469802,2.330130,0.552239,AUT,153248.104478,0.029834,0.052472,0.052605,0.070207,0.001401,neutron,pi+,solid
448,11.0,0.269946,0.413022,0.468910,2.294663,0.563195,AUT,204379.927202,0.031530,0.059907,0.059858,0.070207,0.001478,neutron,pi+,solid
449,11.0,0.317452,0.372668,0.466359,2.442060,0.562128,AUT,99398.479520,0.067849,0.103407,0.103098,0.070207,0.001567,neutron,pi+,solid
450,11.0,0.169414,0.635850,0.473524,2.205570,0.696175,AUT,877591.824389,0.015766,0.016449,0.016388,0.070207,0.001285,neutron,pi+,solid
451,11.0,0.232104,0.505705,0.473781,2.406529,0.690809,AUT,1303836.439464,0.010909,0.017648,0.017627,0.070207,0.001408,neutron,pi+,solid
452,11.0,0.297608,0.421698,0.472950,2.586708,0.673133,AUT,450979.406395,0.021710,0.038539,0.038616,0.070207,0.001533,neutron,pi+,solid
453,11.0,0.195008,0.600779,0.475804,2.367835,0.889081,AUT,754530.809861,0.012893,0.013093,0.013011,0.070207,0.001334,neutron,pi+,solid
454,11.0,0.189204,0.578164,0.523733,2.246649,0.125752,AUT,1821210.490794,0.008593,0.008398,0.008394,0.070207,0.001334,neutron,pi+,solid
455,11.0,0.226489,0.511224,0.523888,2.387790,0.115171,AUT,1830539.995559,0.008756,0.008704,0.008713,0.070207,0.001410,neutron,pi+,solid
456,11.0,0.257937,0.466303,0.524063,2.479900,0.112981,AUT,1821207.512398,0.009132,0.009113,0.009115,0.070207,0.001472,neutron,pi+,solid
457,11.0,0.307957,0.406212,0.523683,2.571989,0.123311,AUT,1698502.643367,0.010693,0.010366,0.010386,0.070207,0.001567,neutron,pi+,solid
